	sequences per sample	iteration	515rcbc12	515rcbc23	515rcbc30	515rcbc29	515rcbc9	515rcbc35	515rcbc18	515rcbc15	515rcbc26	515rcbc25	515rcbc32	515rcbc8	515rcbc16	515rcbc36	515rcbc31	515rcbc22	515rcbc17	515rcbc24	515rcbc21	515rcbc10	515rcbc14	515rcbc19	515rcbc27	515rcbc11	515rcbc34	515rcbc37	515rcbc33	515rcbc28	515rcbc13
alpha_rarefaction_10_0.txt	10	0	1.56741	0.9911	0.94701	2.06347	1.64895	1.14621	0.75304	1.54321	0.9776	1.78742	0.82892	1.51256	1.88037	0.92714	1.32926	1.68411	1.55996	0.77595	1.67124	1.95092	1.62195	1.2654	0.40746	1.71708	1.5308	1.55519	1.62707	1.94772	1.64572
alpha_rarefaction_10_1.txt	10	1	1.82594	1.17383	2.38204	1.66525	2.35394	1.16962	2.17566	1.73944	1.3902	0.81389	1.13297	0.50267	2.0117	0.64678	1.55396	2.78693	1.71256	0.53051	1.04359	0.80516	1.89185	1.39833	1.23429	2.17903	0.48254	1.25427	1.62305	2.3791	2.04204
alpha_rarefaction_10_2.txt	10	2	0.67908	1.47698	1.23225	1.61552	2.21076	0.67652	1.19433	2.22945	1.46928	0.65024	1.18828	1.0484	1.89395	0.84282	1.4508	1.07443	1.69874	1.18911	0.69012	1.26398	1.66407	1.49713	1.98384	0.81951	1.13281	1.83202	1.52434	2.12802	1.92009
alpha_rarefaction_10_3.txt	10	3	1.52815	0.92306	1.39179	1.89596	1.00527	1.55276	1.38991	1.49082	1.68061	1.07794	1.7614	1.68394	1.02566	0.88839	0.96828	1.05944	1.61909	2.40464	1.22827	0.97532	1.61963	2.08613	1.88134	1.79869	2.32741	1.92999	1.30525	1.04723	2.4266
alpha_rarefaction_10_4.txt	10	4	2.04604	1.18542	1.69013	1.59781	2.4559	1.58343	1.86967	1.74612	1.06576	1.25122	1.85791	2.20258	1.6994	0.57888	1.09963	1.44577	1.14698	1.78933	1.25568	0.8553	1.6049	1.9018	1.45895	1.74537	1.22704	1.0587	2.17793	2.45664	1.60945
alpha_rarefaction_10_5.txt	10	5	1.21701	2.01521	1.06744	1.67434	0.99596	2.45805	1.76922	1.45953	1.73764	0.86631	0.93017	0.83409	2.03344	1.40201	1.55218	1.94436	1.51738	1.94322	1.18785	2.14776	1.60466	1.19624	1.96932	1.06708	3.07423	2.24936	1.15005	1.66162	1.46237
alpha_rarefaction_10_6.txt	10	6	1.41448	0.74854	1.15905	2.65667	2.05013	0.81211	1.49557	1.86308	1.4337	2.4962	1.18808	1.54336	2.15886	1.17855	1.54104	1.36948	1.97463	1.16379	0.88367	1.51964	1.53891	1.37064	1.02573	2.40661	2.03132	1.86713	2.41164	1.98059	1.17031
alpha_rarefaction_10_7.txt	10	7	1.76934	1.76979	0.24794	1.56185	2.21481	1.24759	1.41449	0.83852	1.82283	0.69661	2.66088	0.0	2.17098	0.73489	0.81877	1.90456	1.45475	1.72366	0.86433	1.28313	1.60027	1.56424	2.25006	1.7717	2.02552	1.85525	2.43528	1.89044	1.32891
alpha_rarefaction_10_8.txt	10	8	0.80118	1.60822	1.57189	1.59866	1.39096	2.03336	1.68882	2.40773	1.66905	1.87603	1.02229	2.39308	2.24111	1.46466	1.43485	1.18189	2.27081	1.02701	1.08233	1.21539	1.27365	0.48927	2.16033	1.82704	1.14749	1.37125	1.66505	1.19104	0.85795
alpha_rarefaction_10_9.txt	10	9	1.06558	1.54226	1.67217	1.59837	1.64291	0.98207	1.674	1.41807	1.23705	0.81518	1.68139	0.88405	2.06171	0.78767	0.83292	2.06196	2.32932	1.24599	1.76621	1.33887	1.9826	0.86578	1.13681	1.90325	0.68047	2.21137	1.18965	2.30364	1.73979
