# Constructed from biom file
#OTU ID	515rcbc8	515rcbc9	515rcbc10	515rcbc11	515rcbc12	515rcbc13	515rcbc14	515rcbc15	515rcbc16	515rcbc17	515rcbc18	515rcbc19	515rcbc21	515rcbc22	515rcbc23	515rcbc24	515rcbc25	515rcbc26	515rcbc27	515rcbc28	515rcbc29	515rcbc30	515rcbc31	515rcbc32	515rcbc33	515rcbc34	515rcbc35	515rcbc36	515rcbc37
D_0__Archaea;D_1__Bathyarchaeota;D_2__uncultured archaeon;D_3__uncultured archaeon;D_4__uncultured archaeon;D_5__uncultured archaeon	0.0	0.0	0.0	0.0	5.53001303977e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.61100202958e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Archaea;D_1__Diapherotrites;D_2__Diapherotrites Incertae Sedis;D_3__Unknown Order;D_4__Unknown Family;D_5__Candidatus Iainarchaeum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.32220040592e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Archaea;D_1__Euryarchaeota;D_2__Methanobacteria;D_3__Methanobacteriales;D_4__Methanobacteriaceae;D_5__Methanobacterium	0.0	0.0	4.9306260909e-06	0.0	1.93550456392e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.61100202958e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Archaea;D_1__Euryarchaeota;D_2__Methanobacteria;D_3__Methanobacteriales;D_4__Methanobacteriaceae;D_5__Methanosphaera	0.0	2.72773148211e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.22428991185e-05	0.0	0.0	2.3951235285e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Archaea;D_1__Euryarchaeota;D_2__Methanomicrobia;D_3__Methanocellales;D_4__Methanocellaceae;Other	0.0	2.72773148211e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Archaea;D_1__Euryarchaeota;D_2__Methanomicrobia;D_3__Methanosarcinales;D_4__Methanosarcinaceae;D_5__Methanosarcina	0.0	0.0	0.0	0.0	8.84802086363e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Archaea;D_1__Euryarchaeota;D_2__Thermoplasmata;D_3__Thermoplasmatales;D_4__ASC21;D_5__uncultured archaeon	0.0	0.0	6.40981391817e-05	0.0	0.0	0.0	0.0	0.0	5.22105966627e-06	0.0	1.57299482485e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.000100772025686	0.0	0.0	0.000113511672784	0.00031071709539	0.0	0.0	0.0	4.23692907381e-05	0.0	0.0	1.4531715469e-05
D_0__Archaea;D_1__Euryarchaeota;D_2__Thermoplasmata;D_3__Thermoplasmatales;D_4__Marine Group II;D_5__uncultured archaeon	0.0	4.09159722317e-05	1.47918782727e-05	0.0	0.0	0.0	7.2233458538e-06	4.02268796009e-05	0.0	0.00019171619335	0.000110109637739	0.0	0.0	0.0	0.0	0.0	0.0	0.000358300535771	0.0	7.92901941817e-06	2.7026588758e-05	0.000971817298348	0.0	0.0	0.0	1.41230969127e-05	0.000152125188889	0.0	2.9063430938e-05
D_0__Archaea;D_1__Euryarchaeota;D_2__Thermoplasmata;D_3__Thermoplasmatales;D_4__Marine Group II;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.11968917429e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Archaea;D_1__Euryarchaeota;D_2__Thermoplasmata;D_3__Thermoplasmatales;D_4__Thermoplasmatales Incertae Sedis;D_5__Methanomassiliicoccus	0.0	0.0	0.0	0.0	1.65900391193e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
