# Constructed from biom file
#OTU ID	515rcbc8	515rcbc9	515rcbc10	515rcbc11	515rcbc12	515rcbc13	515rcbc14	515rcbc15	515rcbc16	515rcbc17	515rcbc18	515rcbc19	515rcbc21	515rcbc22	515rcbc23	515rcbc24	515rcbc25	515rcbc26	515rcbc27	515rcbc28	515rcbc29	515rcbc30	515rcbc31	515rcbc32	515rcbc33	515rcbc34	515rcbc35	515rcbc36	515rcbc37
D_0__Archaea;D_1__Bathyarchaeota;D_2__uncultured archaeon	0.0	0.0	0.0	0.0	5.53001303977e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.61100202958e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Archaea;D_1__Diapherotrites;D_2__Diapherotrites Incertae Sedis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.32220040592e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Archaea;D_1__Euryarchaeota;D_2__Methanobacteria	0.0	2.72773148211e-05	4.9306260909e-06	0.0	1.93550456392e-05	0.0	0.0	0.0	0.0	0.0	0.0	1.22428991185e-05	0.0	0.0	2.3951235285e-05	0.0	0.0	0.0	0.0	0.0	0.0	6.61100202958e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Archaea;D_1__Euryarchaeota;D_2__Methanomicrobia	0.0	2.72773148211e-05	0.0	0.0	8.84802086363e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Archaea;D_1__Euryarchaeota;D_2__Thermoplasmata	0.0	4.09159722317e-05	7.88900174544e-05	0.0	1.65900391193e-06	0.0	7.2233458538e-06	4.02268796009e-05	5.22105966627e-06	0.00019171619335	0.000125839585988	0.0	0.0	0.0	0.0	0.0	0.0	0.0004702694532	0.0	7.92901941817e-06	0.000140538261542	0.00128253439374	0.0	0.0	0.0	5.64923876508e-05	0.000152125188889	0.0	4.3595146407e-05
D_0__Archaea;D_1__Miscellaneous Euryarchaeotic Group(MEG);D_2__uncultured archaeon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.41350295428e-06	0.0	0.0	0.0	0.0	5.59844587143e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Archaea;D_1__Parvarchaeota;D_2__uncultured archaeon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.67953376143e-05	0.0	0.0	0.0	4.6277014207e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Archaea;D_1__Thaumarchaeota;D_2__FHMa11 terrestrial group	8.67509596825e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.56631789988e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.98543536726e-05	0.0	0.0	0.0	0.0	0.0	0.0	8.03742223794e-06	0.0	0.0	0.0	0.0	0.0
D_0__Archaea;D_1__Thaumarchaeota;D_2__Soil Crenarchaeotic Group(SCG)	0.00605087943785	0.0446256870474	0.0140818681156	0.0101562785931	0.00135595919735	0.0194393170281	0.0248049696619	0.0225029164488	0.0259016770044	0.0324167076495	0.0292183788715	0.0171767874633	0.0120543558037	0.0143952781351	0.0289091409889	0.0527042252147	0.00466627082533	0.0588788552298	0.0168228821761	0.0409137401977	0.0277130641125	0.0575686056736	0.00703574434036	0.00574675690013	0.0159539147457	0.0372849758495	0.0288632191718	0.00461810811504	0.0193998401511
D_0__Archaea;D_1__Thaumarchaeota;D_2__South African Gold Mine Gp 1(SAGMCG-1)	0.00535687176039	0.0	0.0	0.0	0.0	1.44208583295e-05	0.0	0.0	0.000934569680262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.28689183053e-05	0.0	0.0	0.0	2.16212710064e-05	0.0	0.00074496116545	0.0	1.72474754008e-05	0.0	0.0	2.56561561947e-05	0.0
