# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within SampleHabitat	All between SampleHabitat	-0.35733468317	0.72102785743	1	0.720	1.000
All within SampleHabitat	Tree vs. Tree	-0.192925014397	0.847194075367	1	0.850	1.000
All within SampleHabitat	Flower bed vs. Flower bed	1.1764455883	0.241745329469	1	0.262	1.000
All within SampleHabitat	Footpath vs. Footpath	-1.90906099536	[ 0.05868277]	1	0.065	1.000
All within SampleHabitat	Shrub vs. Shrub	-0.381633662498	0.703370877965	1	0.707	1.000
All within SampleHabitat	Canal vs. Log	0.437072746924	[ 0.66285741]	1	0.675	1.000
All within SampleHabitat	Canal vs. Open field	0.435333517035	[ 0.66411559]	1	0.690	1.000
All within SampleHabitat	Canal vs. Tree	-2.19967579898	0.0295704870977	1	0.036	1.000
All within SampleHabitat	Canal vs. Bench	0.71971808904	[ 0.47312168]	1	0.539	1.000
All within SampleHabitat	Canal vs. Flower bed	-1.12856474281	0.261332689812	1	0.265	1.000
All within SampleHabitat	Canal vs. Footpath	0.118859948533	0.905586727115	1	0.900	1.000
All within SampleHabitat	Canal vs. Shrub	-0.663737485967	0.508110698762	1	0.513	1.000
All within SampleHabitat	Log vs. Open field	0.219857363588	[ 0.82636214]	1	0.845	1.000
All within SampleHabitat	Log vs. Tree	0.369903540783	0.712047172142	1	0.715	1.000
All within SampleHabitat	Log vs. Bench	-0.523868044256	[ 0.60135288]	1	0.643	1.000
All within SampleHabitat	Log vs. Flower bed	-0.471760893633	0.637954134371	1	0.626	1.000
All within SampleHabitat	Log vs. Footpath	0.258440545728	0.796513391045	1	0.787	1.000
All within SampleHabitat	Log vs. Shrub	0.187014300612	0.851960068937	1	0.862	1.000
All within SampleHabitat	Open field vs. Tree	0.0300364457045	0.976083353258	1	0.979	1.000
All within SampleHabitat	Open field vs. Bench	0.981291145382	[ 0.32845686]	1	0.327	1.000
All within SampleHabitat	Open field vs. Flower bed	1.91448127698	0.0579395472318	1	0.054	1.000
All within SampleHabitat	Open field vs. Footpath	2.13804711779	0.0345579726657	1	0.032	1.000
All within SampleHabitat	Open field vs. Shrub	0.139915398901	0.888957561597	1	0.902	1.000
All within SampleHabitat	Tree vs. Bench	0.534709386608	0.593750371473	1	0.628	1.000
All within SampleHabitat	Tree vs. Flower bed	-2.27771872622	0.0240507772668	1	0.026	1.000
All within SampleHabitat	Tree vs. Footpath	1.58596359667	0.114896382544	1	0.113	1.000
All within SampleHabitat	Tree vs. Shrub	0.00624774054935	0.995021543433	1	0.995	1.000
All within SampleHabitat	Bench vs. Flower bed	-2.32028999399	0.0220143137533	1	0.023	1.000
All within SampleHabitat	Bench vs. Footpath	-0.589536138715	0.556619310408	1	0.580	1.000
All within SampleHabitat	Bench vs. Shrub	0.276321059291	0.782769037875	1	0.791	1.000
All within SampleHabitat	Flower bed vs. Footpath	2.3478138677	0.0204802186798	1	0.026	1.000
All within SampleHabitat	Flower bed vs. Shrub	-0.905409050954	0.366898364873	1	0.359	1.000
All within SampleHabitat	Footpath vs. Shrub	1.19229056147	0.23537035896	1	0.230	1.000
All between SampleHabitat	Tree vs. Tree	0.118697750401	0.905575931876	1	0.904	1.000
All between SampleHabitat	Flower bed vs. Flower bed	1.22109118024	0.223050197188	1	0.233	1.000
All between SampleHabitat	Footpath vs. Footpath	-1.91034408254	[ 0.05708889]	1	0.048	1.000
All between SampleHabitat	Shrub vs. Shrub	-0.261351914694	0.79400350466	1	0.798	1.000
All between SampleHabitat	Canal vs. Log	0.389873664299	[ 0.69692015]	1	0.708	1.000
All between SampleHabitat	Canal vs. Open field	0.388168472739	[ 0.69818013]	1	0.720	1.000
All between SampleHabitat	Canal vs. Tree	-2.05789405553	0.0404640368652	1	0.032	1.000
All between SampleHabitat	Canal vs. Bench	0.666987377078	[ 0.50531795]	1	0.534	1.000
All between SampleHabitat	Canal vs. Flower bed	-1.04246123219	0.298072161341	1	0.292	1.000
All between SampleHabitat	Canal vs. Footpath	0.171180419238	0.86420252873	1	0.854	1.000
All between SampleHabitat	Canal vs. Shrub	-0.566802157903	0.571287028023	1	0.578	1.000
All between SampleHabitat	Log vs. Open field	0.176909385822	[ 0.85970478]	1	0.854	1.000
