# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within SampleNearbyObjects	All between SampleNearbyObjects	-0.888522417471	0.374788508378	1	0.416	1.000
All within SampleNearbyObjects	Plants vs. Plants	0.772409771065	0.441365538784	1	0.415	1.000
All within SampleNearbyObjects	Twigs vs. Twigs	-0.487202704329	0.627084178781	1	0.614	1.000
All within SampleNearbyObjects	N/A vs. N/A	-0.17818896118	0.858756755802	1	0.870	1.000
All within SampleNearbyObjects	Plants vs. Radishes	0.108217802671	0.91401484507	1	0.904	1.000
All within SampleNearbyObjects	Plants vs. Geranium Rozanne	1.77833848655	0.0780376531466	1	0.074	1.000
All within SampleNearbyObjects	Plants vs. Bird feed	0.700357536158	0.485143543023	1	0.489	1.000
All within SampleNearbyObjects	Plants vs. Twigs	-1.05731086188	0.292408791931	1	0.302	1.000
All within SampleNearbyObjects	Plants vs. N/A	0.058420889348	0.95347445134	1	0.948	1.000
All within SampleNearbyObjects	Plants vs. Bark chips	-2.21545577524	0.0287336593891	1	0.037	1.000
All within SampleNearbyObjects	Plants vs. Ivy	-1.25579868065	0.211779353194	1	0.237	1.000
All within SampleNearbyObjects	Plants vs. Fertiliser	-0.425535260173	0.671255865685	1	0.679	1.000
All within SampleNearbyObjects	Radishes vs. Geranium Rozanne	0.229944247961	[ 0.81857005]	1	0.870	1.000
All within SampleNearbyObjects	Radishes vs. Bird feed	-1.01846518018	[ 0.31073304]	1	0.366	1.000
All within SampleNearbyObjects	Radishes vs. Twigs	1.16500675578	0.24653647026	1	0.254	1.000
All within SampleNearbyObjects	Radishes vs. N/A	1.32596682099	0.187348354402	1	0.184	1.000
All within SampleNearbyObjects	Radishes vs. Bark chips	-0.405906445095	[ 0.68561443]	1	0.726	1.000
All within SampleNearbyObjects	Radishes vs. Ivy	0.0364878819594	[ 0.9709607]	1	0.991	1.000
All within SampleNearbyObjects	Radishes vs. Fertiliser	0.193352874899	[ 0.84704579]	1	0.886	1.000
All within SampleNearbyObjects	Geranium Rozanne vs. Bird feed	-0.0377807587498	[ 0.96993223]	1	0.974	1.000
All within SampleNearbyObjects	Geranium Rozanne vs. Twigs	-0.737560656654	0.462351910993	1	0.458	1.000
All within SampleNearbyObjects	Geranium Rozanne vs. N/A	0.158977939782	0.873951300659	1	0.873	1.000
All within SampleNearbyObjects	Geranium Rozanne vs. Bark chips	1.26114308532	[ 0.20997472]	1	0.204	1.000
All within SampleNearbyObjects	Geranium Rozanne vs. Ivy	0.779934014616	[ 0.43713563]	1	0.471	1.000
All within SampleNearbyObjects	Geranium Rozanne vs. Fertiliser	-0.242495552693	[ 0.80885612]	1	0.872	1.000
All within SampleNearbyObjects	Bird feed vs. Twigs	0.417895724651	0.676837990974	1	0.679	1.000
All within SampleNearbyObjects	Bird feed vs. N/A	1.24166871348	0.216760318726	1	0.222	1.000
All within SampleNearbyObjects	Bird feed vs. Bark chips	-0.114538363084	[ 0.90902371]	1	0.962	1.000
All within SampleNearbyObjects	Bird feed vs. Ivy	0.234090231682	[ 0.81535811]	1	0.839	1.000
All within SampleNearbyObjects	Bird feed vs. Fertiliser	0.625795422199	[ 0.5327694]	1	0.556	1.000
All within SampleNearbyObjects	Twigs vs. N/A	-0.620399312677	0.535942672783	1	0.534	1.000
All within SampleNearbyObjects	Twigs vs. Bark chips	-0.732130603409	0.465645893491	1	0.464	1.000
All within SampleNearbyObjects	Twigs vs. Ivy	-0.608982241948	0.543791862421	1	0.571	1.000
All within SampleNearbyObjects	Twigs vs. Fertiliser	-1.09203088703	0.277205540936	1	0.302	1.000
All within SampleNearbyObjects	N/A vs. Bark chips	-1.44097690585	0.152174017481	1	0.141	1.000
All within SampleNearbyObjects	N/A vs. Ivy	-1.61640629923	0.108610798143	1	0.109	1.000
All within SampleNearbyObjects	N/A vs. Fertiliser	-1.64514968109	0.10253435165	1	0.117	1.000
All within SampleNearbyObjects	Bark chips vs. Ivy	1.44906869659	[ 0.15021582]	1	0.147	1.000
All within SampleNearbyObjects	Bark chips vs. Fertiliser	1.31112552678	[ 0.19259621]	1	0.186	1.000
All within SampleNearbyObjects	Ivy vs. Fertiliser	1.1086160069	[ 0.27005854]	1	0.331	1.000
All between SampleNearbyObjects	Plants vs. Plants	1.24267201375	0.214927860166	1	0.236	1.000
All between SampleNearbyObjects	Twigs vs. Twigs	-0.352635306575	0.724611144948	1	0.739	1.000
All between SampleNearbyObjects	N/A vs. N/A	0.605284572188	0.545345620057	1	0.545	1.000
All between SampleNearbyObjects	Plants vs. Radishes	0.364581293816	0.715679981993	1	0.712	1.000
All between SampleNearbyObjects	Plants vs. Geranium Rozanne	2.18524279328	0.0296417568769	1	0.034	1.000
All between SampleNearbyObjects	Plants vs. Bird feed	1.0064318561	0.315016244066	1	0.329	1.000
All between SampleNearbyObjects	Plants vs. Twigs	-0.777530473522	0.437433141687	1	0.437	1.000
All between SampleNearbyObjects	Plants vs. N/A	0.870949218387	0.384333212815	1	0.384	1.000
All between SampleNearbyObjects	Plants vs. Bark chips	-2.17924451172	0.0300886453718	1	0.024	1.000
All between SampleNearbyObjects	Plants vs. Ivy	-1.11102695664	0.267443434118	1	0.281	1.000
All between SampleNearbyObjects	Plants vs. Fertiliser	-0.213070682014	0.83141606802	1	0.840	1.000
All between SampleNearbyObjects	Radishes vs. Geranium Rozanne	0.146738700762	[ 0.88343816]	1	0.870	1.000
All between SampleNearbyObjects	Radishes vs. Bird feed	-1.20051652013	[ 0.23089867]	1	0.253	1.000
All between SampleNearbyObjects	Radishes vs. Twigs	1.43445079548	0.152492213426	1	0.141	1.000
All between SampleNearbyObjects	Radishes vs. N/A	1.82412118164	0.0690994519942	1	0.078	1.000
All between SampleNearbyObjects	Radishes vs. Bark chips	-0.539456986821	[ 0.58997712]	1	0.614	1.000
All between SampleNearbyObjects	Radishes vs. Ivy	-0.0620350342291	[ 0.9505768]	1	0.924	1.000
All between SampleNearbyObjects	Radishes vs. Fertiliser	0.107250118501	[ 0.91466321]	1	0.902	1.000
All between SampleNearbyObjects	Geranium Rozanne vs. Bird feed	-0.142184071627	[ 0.88703134]	1	0.868	1.000
All between SampleNearbyObjects	Geranium Rozanne vs. Twigs	-0.628543494431	0.530129411717	1	0.517	1.000
All between SampleNearbyObjects	Geranium Rozanne vs. N/A	0.546467527919	0.585138966249	1	0.594	1.000
All between SampleNearbyObjects	Geranium Rozanne vs. Bark chips	1.25958516451	[ 0.20881132]	1	0.206	1.000
All between SampleNearbyObjects	Geranium Rozanne vs. Ivy	0.740275218399	[ 0.45971978]	1	0.491	1.000
All between SampleNearbyObjects	Geranium Rozanne vs. Fertiliser	-0.363107647432	[ 0.71678364]	1	0.723	1.000
All between SampleNearbyObjects	Bird feed vs. Twigs	0.627700109724	0.530681105609	1	0.531	1.000
All between SampleNearbyObjects	Bird feed vs. N/A	1.73662344044	0.0834502688999	1	0.083	1.000
All between SampleNearbyObjects	Bird feed vs. Bark chips	-0.225019142279	[ 0.82211965]	1	0.836	1.000
All between SampleNearbyObjects	Bird feed vs. Ivy	0.151212952628	[ 0.87991073]	1	0.854	1.000
All between SampleNearbyObjects	Bird feed vs. Fertiliser	0.573932335451	[ 0.56644944]	1	0.578	1.000
All between SampleNearbyObjects	Twigs vs. N/A	-0.102891694381	0.918110128355	1	0.906	1.000
All between SampleNearbyObjects	Twigs vs. Bark chips	-0.614723037784	0.539206722458	1	0.558	1.000
All between SampleNearbyObjects	Twigs vs. Ivy	-0.482445401338	0.629843755289	1	0.641	1.000
All between SampleNearbyObjects	Twigs vs. Fertiliser	-1.00875989719	0.3139081703	1	0.303	1.000
All between SampleNearbyObjects	N/A vs. Bark chips	-1.20573882432	0.228840668201	1	0.230	1.000
All between SampleNearbyObjects	N/A vs. Ivy	-1.40538685537	0.160910875544	1	0.154	1.000
All between SampleNearbyObjects	N/A vs. Fertiliser	-1.43862024929	0.151270236867	1	0.178	1.000
All between SampleNearbyObjects	Bark chips vs. Ivy	1.46239023408	[ 0.14469521]	1	0.142	1.000
All between SampleNearbyObjects	Bark chips vs. Fertiliser	1.31352508493	[ 0.19002329]	1	0.175	1.000
