# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within SamplePh	All between SamplePh	1.1201035999	0.263335053999	1	0.263	1.000
All within SamplePh	8.5 vs. 8.5	-1.70923031264	0.0919026880508	1	0.094	1.000
All within SamplePh	5.5 vs. 5.5	0.571451033347	0.56947357981	1	0.573	1.000
All within SamplePh	6.5 vs. 6.5	-0.868793185824	[ 0.38806182]	1	0.447	1.000
All within SamplePh	5 vs. 5	-0.208607317162	0.835242424414	1	0.849	1.000
All within SamplePh	9 vs. 9	0.363320465998	0.717117398213	1	0.707	1.000
All within SamplePh	8 vs. 8	0.658629312851	[ 0.51239092]	1	0.539	1.000
All within SamplePh	8.5 vs. 5.5	-1.02655489945	0.307803138955	1	0.318	1.000
All within SamplePh	8.5 vs. 5.6	0.382345671365	0.703380149102	1	0.730	1.000
All within SamplePh	8.5 vs. 5.7	0.125817432213	0.900242328052	1	0.899	1.000
All within SamplePh	8.5 vs. 6.5	-0.140047533607	0.889013474524	1	0.891	1.000
All within SamplePh	8.5 vs. 5	-1.55185971746	0.124326114823	1	0.119	1.000
All within SamplePh	8.5 vs. 9	-1.12902198542	0.261792448088	1	0.292	1.000
All within SamplePh	8.5 vs. 8	-0.463201784967	0.644616844603	1	0.657	1.000
All within SamplePh	5.5 vs. 5.6	0.998544011868	0.321454976981	1	0.326	1.000
All within SamplePh	5.5 vs. 5.7	1.39209417897	0.16830102767	1	0.141	1.000
All within SamplePh	5.5 vs. 6.5	1.8937262649	0.0621702255866	1	0.066	1.000
All within SamplePh	5.5 vs. 5	0.904084334168	0.368261887497	1	0.349	1.000
All within SamplePh	5.5 vs. 9	1.08494191356	0.280505040195	1	0.289	1.000
All within SamplePh	5.5 vs. 8	1.05174831133	0.296337456749	1	0.298	1.000
All within SamplePh	5.6 vs. 5.7	-1.89177595296	[ 0.06284372]	1	0.096	1.000
All within SamplePh	5.6 vs. 6.5	0.987761780855	0.326771064825	1	0.329	1.000
All within SamplePh	5.6 vs. 5	1.42194309634	0.159301386623	1	0.149	1.000
All within SamplePh	5.6 vs. 9	1.10922485695	0.270877299714	1	0.273	1.000
All within SamplePh	5.6 vs. 8	0.688221240246	0.493654652677	1	0.513	1.000
All within SamplePh	5.7 vs. 6.5	1.00704051339	0.317485396075	1	0.301	1.000
All within SamplePh	5.7 vs. 5	1.76059459431	0.0824953543676	1	0.086	1.000
All within SamplePh	5.7 vs. 9	1.12501267403	0.264171164134	1	0.273	1.000
All within SamplePh	5.7 vs. 8	0.546340565137	0.586620040114	1	0.581	1.000
All within SamplePh	6.5 vs. 5	1.49020200214	0.140103426215	1	0.132	1.000
All within SamplePh	6.5 vs. 9	2.18300631273	0.0318257177321	1	0.032	1.000
All within SamplePh	6.5 vs. 8	0.951662297762	0.344542767951	1	0.364	1.000
All within SamplePh	5 vs. 9	-0.0571957975239	0.954477724394	1	0.950	1.000
All within SamplePh	5 vs. 8	0.410871999501	0.682264882704	1	0.685	1.000
All within SamplePh	9 vs. 8	0.640471825088	0.52360923475	1	0.537	1.000
All between SamplePh	8.5 vs. 8.5	-1.96870107478	0.0498017544851	1	0.046	1.000
All between SamplePh	5.5 vs. 5.5	0.215543116718	0.829472386055	1	0.831	1.000
All between SamplePh	6.5 vs. 6.5	-0.705316663636	[ 0.48110041]	1	0.495	1.000
All between SamplePh	5 vs. 5	-0.887557176422	0.375376553824	1	0.369	1.000
All between SamplePh	9 vs. 9	-0.459549762416	0.646107865805	1	0.671	1.000
All between SamplePh	8 vs. 8	0.795035233945	[ 0.42715258]	1	0.477	1.000
All between SamplePh	8.5 vs. 5.5	-1.57296790143	0.116634938962	1	0.124	1.000
All between SamplePh	8.5 vs. 5.6	0.122000605194	0.902970826671	1	0.903	1.000
All between SamplePh	8.5 vs. 5.7	-0.132490221172	0.894675161656	1	0.899	1.000
All between SamplePh	8.5 vs. 6.5	-0.501589554435	0.616278995727	1	0.609	1.000
All between SamplePh	8.5 vs. 5	-2.40375640633	0.0167367260242	1	0.022	1.000
All between SamplePh	8.5 vs. 9	-2.01147639436	0.0450138274118	1	0.054	1.000
All between SamplePh	8.5 vs. 8	-0.833472169318	0.4051601997	1	0.404	1.000
All between SamplePh	5.5 vs. 5.6	0.686239185608	0.493029991945	1	0.518	1.000
All between SamplePh	5.5 vs. 5.7	1.07271470494	0.284159923069	1	0.289	1.000
All between SamplePh	5.5 vs. 6.5	1.49003159642	0.137132215754	1	0.144	1.000
All between SamplePh	5.5 vs. 5	0.273791861865	0.784399872576	1	0.801	1.000
All between SamplePh	5.5 vs. 9	0.372828268337	0.709488597738	1	0.699	1.000
All between SamplePh	5.5 vs. 8	0.66223190537	0.508266010518	1	0.528	1.000
All between SamplePh	5.6 vs. 5.7	-1.71016904548	[ 0.08815501]	1	0.079	1.000
All between SamplePh	5.6 vs. 6.5	0.761665580106	0.446790736222	1	0.443	1.000
All between SamplePh	5.6 vs. 5	1.07194656898	0.284497668697	1	0.284	1.000
All between SamplePh	5.6 vs. 9	0.666508188888	0.505531791657	1	0.490	1.000
All between SamplePh	5.6 vs. 8	0.466572483585	0.641106354001	1	0.654	1.000
All between SamplePh	5.7 vs. 6.5	0.779903235509	0.435993607505	1	0.457	1.000
All between SamplePh	5.7 vs. 5	1.41104493944	0.159137719608	1	0.147	1.000
All between SamplePh	5.7 vs. 9	0.69549092523	0.487215891674	1	0.484	1.000
All between SamplePh	5.7 vs. 8	0.327131566714	0.743770877842	1	0.753	1.000
All between SamplePh	6.5 vs. 5	1.03072267394	0.303382615229	1	0.317	1.000
All between SamplePh	6.5 vs. 9	1.59441458715	0.111735595921	1	0.113	1.000
All between SamplePh	6.5 vs. 8	0.643496007434	0.520336091916	1	0.561	1.000
All between SamplePh	5 vs. 9	-1.13007769107	0.259122363582	1	0.268	1.000
All between SamplePh	5 vs. 8	-0.103965211369	0.917256503947	1	0.920	1.000
All between SamplePh	9 vs. 8	0.0649187681737	0.94827532137	1	0.953	1.000
8.5 vs. 8.5	5.5 vs. 5.5	1.65613024206	0.141666062262	1	0.176	1.000
