# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within SampleDepth	All between SampleDepth	0.727494141403	0.467344680413	1	0.458	1.000
All within SampleDepth	11 vs. 11	-0.268864021411	[ 0.78914065]	1	0.830	1.000
All within SampleDepth	10 vs. 10	0.12949313906	0.897244139761	1	0.891	1.000
All within SampleDepth	16 vs. 16	0.260340145961	[ 0.79567057]	1	0.839	1.000
All within SampleDepth	15 vs. 15	0.44875740148	[ 0.65554561]	1	0.738	1.000
All within SampleDepth	3 vs. 3	0.960282180683	[ 0.34153415]	1	0.224	1.000
All within SampleDepth	9.5 vs. 9.5	-0.0695192543013	[ 0.9448536]	1	0.957	1.000
All within SampleDepth	14 vs. 14	-0.121818636515	[ 0.90353094]	1	0.891	1.000
All within SampleDepth	11 vs. 10	1.07183503972	0.287528784083	1	0.282	1.000
All within SampleDepth	11 vs. 12	0.464166288565	0.644503926635	1	0.796	1.000
All within SampleDepth	11 vs. 10.5	0.742386529549	0.46125887487	1	0.568	1.000
All within SampleDepth	11 vs. 7	0.37901430554	0.706250663015	1	0.852	1.000
All within SampleDepth	11 vs. 16	0.327604529371	0.744501280392	1	0.785	1.000
All within SampleDepth	11 vs. 11.5	0.46343613089	0.645023565144	1	0.799	1.000
All within SampleDepth	11 vs. 8.5	-0.0299069946347	0.976257957932	1	0.988	1.000
All within SampleDepth	11 vs. 15	0.297519988418	0.767232642784	1	0.793	1.000
All within SampleDepth	11 vs. 3	-0.124593910978	0.901316416888	1	0.920	1.000
All within SampleDepth	11 vs. 12.5	0.329498851807	0.743128142292	1	0.863	1.000
All within SampleDepth	11 vs. 10.8	0.689821114389	0.493433799359	1	0.625	1.000
All within SampleDepth	11 vs. 9.5	0.488623922832	0.627123752461	1	0.660	1.000
All within SampleDepth	11 vs. 14	0.67731022005	0.501155074955	1	0.557	1.000
All within SampleDepth	10 vs. 12	0.390074214407	0.697886379732	1	0.703	1.000
All within SampleDepth	10 vs. 10.5	0.550347177011	0.584159001416	1	0.626	1.000
All within SampleDepth	10 vs. 7	0.166104499522	0.868642624121	1	0.866	1.000
All within SampleDepth	10 vs. 16	0.0502925192963	0.960034589515	1	0.960	1.000
All within SampleDepth	10 vs. 11.5	0.953228308658	0.344363525949	1	0.358	1.000
All within SampleDepth	10 vs. 8.5	-0.124932848839	0.901001421396	1	0.902	1.000
All within SampleDepth	10 vs. 15	0.24865656883	0.80436506781	1	0.798	1.000
All within SampleDepth	10 vs. 3	-0.562484697714	0.57560878771	1	0.592	1.000
All within SampleDepth	10 vs. 12.5	-0.00165413216193	0.998685774398	1	0.998	1.000
All within SampleDepth	10 vs. 10.8	0.962308923959	0.33982197787	1	0.349	1.000
All within SampleDepth	10 vs. 9.5	-0.499552395538	0.618979530499	1	0.621	1.000
All within SampleDepth	10 vs. 14	1.0007586832	0.320440218108	1	0.329	1.000
All within SampleDepth	12 vs. 10.5	0.0179392219566	[ 0.98575873]	1	0.983	1.000
All within SampleDepth	12 vs. 7	0.264357976758	[ 0.79259075]	1	0.811	1.000
All within SampleDepth	12 vs. 16	0.355201147658	0.723903738088	1	0.867	1.000
All within SampleDepth	12 vs. 11.5	-0.28839604984	[ 0.7742358]	1	0.786	1.000
All within SampleDepth	12 vs. 8.5	0.360331255892	[ 0.72011719]	1	0.779	1.000
All within SampleDepth	12 vs. 15	0.138529894266	0.890367196919	1	0.941	1.000
All within SampleDepth	12 vs. 3	-0.179724272406	0.858081222426	1	0.936	1.000
All within SampleDepth	12 vs. 12.5	-0.567892921884	[ 0.57264915]	1	0.504	1.000
All within SampleDepth	12 vs. 10.8	-0.0548862494196	[ 0.95644782]	1	0.983	1.000
All within SampleDepth	12 vs. 9.5	0.7100079215	0.480933196745	1	0.592	1.000
All within SampleDepth	12 vs. 14	0.143623681559	0.886363640519	1	0.950	1.000
All within SampleDepth	10.5 vs. 7	0.0144198541275	[ 0.98855241]	1	0.980	1.000
All within SampleDepth	10.5 vs. 16	-0.270218178086	0.788082907196	1	0.879	1.000
All within SampleDepth	10.5 vs. 11.5	-0.410905862304	[ 0.68289735]	1	0.745	1.000
All within SampleDepth	10.5 vs. 8.5	0.188557219579	[ 0.85120311]	1	0.861	1.000
All within SampleDepth	10.5 vs. 15	0.278434650871	0.781804549876	1	0.881	1.000
All within SampleDepth	10.5 vs. 3	-0.0825689104366	0.93451754424	1	0.969	1.000
All within SampleDepth	10.5 vs. 12.5	0.200584647493	[ 0.84183705]	1	0.842	1.000
All within SampleDepth	10.5 vs. 10.8	-0.303919420147	[ 0.76245049]	1	0.771	1.000
All within SampleDepth	10.5 vs. 9.5	0.218709036643	0.827749586947	1	0.931	1.000
All within SampleDepth	10.5 vs. 14	0.583393199771	0.562199820842	1	0.721	1.000
All within SampleDepth	7 vs. 16	-0.00859919430865	0.993172470136	1	0.999	1.000
All within SampleDepth	7 vs. 11.5	-0.434097551191	[ 0.6660851]	1	0.735	1.000
All within SampleDepth	7 vs. 8.5	-0.114099789591	[ 0.90961563]	1	0.924	1.000
All within SampleDepth	7 vs. 15	0.0417676024861	0.966847054676	1	0.989	1.000
All within SampleDepth	7 vs. 3	-0.276091657146	0.783593402948	1	0.904	1.000
All within SampleDepth	7 vs. 12.5	0.328178776261	[ 0.7441469]	1	0.772	1.000
All within SampleDepth	7 vs. 10.8	-0.96218326045	[ 0.34058794]	1	0.206	1.000
All within SampleDepth	7 vs. 9.5	-0.726067725637	0.471116375303	1	0.604	1.000
All within SampleDepth	7 vs. 14	0.408942254474	0.684294298573	1	0.830	1.000
All within SampleDepth	16 vs. 11.5	0.388682149452	0.699129272283	1	0.838	1.000
All within SampleDepth	16 vs. 8.5	0.179386321887	0.858345176611	1	0.944	1.000
