# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within SampleDistanceFromTree	All between SampleDistanceFromTree	0.743442951234	0.457645667571	1	0.456	1.000
All within SampleDistanceFromTree	N/A vs. N/A	-0.98346636721	0.32690078276	1	0.322	1.000
All within SampleDistanceFromTree	0 vs. 0	1.91047412668	0.058800042899	1	0.057	1.000
All within SampleDistanceFromTree	2 vs. 2	1.06831972434	0.28794846432	1	0.317	1.000
All within SampleDistanceFromTree	5 vs. 5	-0.0119887214677	[ 0.99046086]	1	1.000	1.000
All within SampleDistanceFromTree	1.5 vs. 0.3	1.15417660133	[ 0.25144991]	1	0.153	1.000
All within SampleDistanceFromTree	1.5 vs. 0.5	1.52122664109	[ 0.13167027]	1	0.120	1.000
All within SampleDistanceFromTree	1.5 vs. N/A	-2.70154350592	0.0080839403064	1	0.014	1.000
All within SampleDistanceFromTree	1.5 vs. 1	-0.0691130805969	[ 0.94505125]	1	0.915	1.000
All within SampleDistanceFromTree	1.5 vs. 0	-1.24791149123	0.215098741677	1	0.200	1.000
All within SampleDistanceFromTree	1.5 vs. 2	-0.47716120601	0.634343224554	1	0.645	1.000
All within SampleDistanceFromTree	1.5 vs. 5	-0.296063523251	0.767848829864	1	0.811	1.000
All within SampleDistanceFromTree	0.3 vs. 0.5	-0.280334229329	[ 0.77985739]	1	0.692	1.000
All within SampleDistanceFromTree	0.3 vs. N/A	-0.42361217914	0.672740614099	1	0.671	1.000
All within SampleDistanceFromTree	0.3 vs. 1	0.0486445537486	[ 0.96130917]	1	0.917	1.000
All within SampleDistanceFromTree	0.3 vs. 0	0.71273379163	0.477739328905	1	0.515	1.000
All within SampleDistanceFromTree	0.3 vs. 2	-0.242565026601	0.808865294379	1	0.817	1.000
All within SampleDistanceFromTree	0.3 vs. 5	-0.339995866517	0.734634668756	1	0.768	1.000
All within SampleDistanceFromTree	0.5 vs. N/A	-1.49652990605	0.137603573981	1	0.154	1.000
All within SampleDistanceFromTree	0.5 vs. 1	0.460475636863	[ 0.64627335]	1	0.607	1.000
All within SampleDistanceFromTree	0.5 vs. 0	-0.395053488914	0.693679826641	1	0.714	1.000
All within SampleDistanceFromTree	0.5 vs. 2	-1.04969033163	0.296523532761	1	0.315	1.000
All within SampleDistanceFromTree	0.5 vs. 5	-0.416837595049	0.677768197584	1	0.710	1.000
All within SampleDistanceFromTree	N/A vs. 1	0.836795360549	0.404663839066	1	0.428	1.000
All within SampleDistanceFromTree	N/A vs. 0	1.27202427198	0.205187423237	1	0.195	1.000
All within SampleDistanceFromTree	N/A vs. 2	0.214209694762	0.830674454491	1	0.823	1.000
All within SampleDistanceFromTree	N/A vs. 5	0.442270755429	0.659131225566	1	0.668	1.000
All within SampleDistanceFromTree	1 vs. 0	1.53610527612	0.127801974079	1	0.095	1.000
All within SampleDistanceFromTree	1 vs. 2	1.79167924984	0.0763683322938	1	0.060	1.000
All within SampleDistanceFromTree	1 vs. 5	0.914109001741	0.363049090851	1	0.357	1.000
All within SampleDistanceFromTree	0 vs. 2	2.42765773317	0.0166818249261	1	0.013	1.000
All within SampleDistanceFromTree	0 vs. 5	1.07933866431	0.28298246272	1	0.288	1.000
All within SampleDistanceFromTree	2 vs. 5	1.00003261136	0.319708452633	1	0.316	1.000
All between SampleDistanceFromTree	N/A vs. N/A	-2.04923175751	0.0411292727432	1	0.037	1.000
All between SampleDistanceFromTree	0 vs. 0	2.01532743942	0.0446882140238	1	0.041	1.000
All between SampleDistanceFromTree	2 vs. 2	1.03100632397	0.303311626756	1	0.324	1.000
All between SampleDistanceFromTree	5 vs. 5	0.0781329016963	[ 0.93777226]	1	0.923	1.000
All between SampleDistanceFromTree	1.5 vs. 0.3	1.51752777166	[ 0.13014283]	1	0.095	1.000
All between SampleDistanceFromTree	1.5 vs. 0.5	1.97057669528	[ 0.0496533]	1	0.077	1.000
All between SampleDistanceFromTree	1.5 vs. N/A	-3.70658268825	0.000247002800716	0.133381512387	0.003	1.000
All between SampleDistanceFromTree	1.5 vs. 1	0.0076244515876	[ 0.99392148]	1	1.000	1.000
All between SampleDistanceFromTree	1.5 vs. 0	-1.76883699673	0.0778796377264	1	0.071	1.000
All between SampleDistanceFromTree	1.5 vs. 2	-0.797768838538	0.425601832206	1	0.403	1.000
All between SampleDistanceFromTree	1.5 vs. 5	-0.497313859815	0.619315788306	1	0.597	1.000
All between SampleDistanceFromTree	0.3 vs. 0.5	-0.2530852711	[ 0.80036846]	1	0.772	1.000
All between SampleDistanceFromTree	0.3 vs. N/A	-0.854433077641	0.393496389397	1	0.386	1.000
All between SampleDistanceFromTree	0.3 vs. 1	0.152972397941	[ 0.87851861]	1	0.850	1.000
All between SampleDistanceFromTree	0.3 vs. 0	0.655585471977	0.512564876984	1	0.537	1.000
All between SampleDistanceFromTree	0.3 vs. 2	-0.507117390861	0.612425039615	1	0.637	1.000
All between SampleDistanceFromTree	0.3 vs. 5	-0.551047807067	0.581992770254	1	0.550	1.000
All between SampleDistanceFromTree	0.5 vs. N/A	-2.20950971935	0.0278382562356	1	0.022	1.000
All between SampleDistanceFromTree	0.5 vs. 1	0.661294448631	[ 0.50890998]	1	0.421	1.000
All between SampleDistanceFromTree	0.5 vs. 0	-0.7157678501	0.474659945645	1	0.459	1.000
All between SampleDistanceFromTree	0.5 vs. 2	-1.50413377853	0.133542555996	1	0.114	1.000
All between SampleDistanceFromTree	0.5 vs. 5	-0.646033576879	0.518729466004	1	0.484	1.000
All between SampleDistanceFromTree	N/A vs. 1	0.746328394428	0.456010235485	1	0.447	1.000
All between SampleDistanceFromTree	N/A vs. 0	1.07830532764	0.281574402982	1	0.270	1.000
All between SampleDistanceFromTree	N/A vs. 2	-0.362900384461	0.716885407319	1	0.737	1.000
All between SampleDistanceFromTree	N/A vs. 5	0.13207023683	0.895007787599	1	0.889	1.000
All between SampleDistanceFromTree	1 vs. 0	1.6699542254	0.0959124032693	1	0.099	1.000
All between SampleDistanceFromTree	1 vs. 2	2.00501475961	0.0458113507434	1	0.046	1.000
All between SampleDistanceFromTree	1 vs. 5	0.997023073724	0.319521009381	1	0.280	1.000
All between SampleDistanceFromTree	0 vs. 2	2.52844025672	0.0119064068492	1	0.009	1.000
All between SampleDistanceFromTree	0 vs. 5	1.01397422654	0.311351646057	1	0.291	1.000
All between SampleDistanceFromTree	2 vs. 5	0.945435152492	0.345145654849	1	0.329	1.000
N/A vs. N/A	0 vs. 0	2.28403653648	0.0250547283389	1	0.023	1.000
N/A vs. N/A	2 vs. 2	1.42596246231	0.158084208184	1	0.148	1.000
N/A vs. N/A	5 vs. 5	-0.159313671679	[ 0.87391575]	1	0.865	1.000
N/A vs. N/A	1.5 vs. 0.3	0.888875458193	[ 0.37734778]	1	0.332	1.000
N/A vs. N/A	1.5 vs. 0.5	1.21879254137	[ 0.22732785]	1	0.178	1.000
N/A vs. N/A	1.5 vs. N/A	-1.92299025706	0.0582276086383	1	0.056	1.000
N/A vs. N/A	1.5 vs. 1	-0.210658992209	[ 0.83381238]	1	0.836	1.000
N/A vs. N/A	1.5 vs. 0	-0.758580743434	0.450650051836	1	0.467	1.000
N/A vs. N/A	1.5 vs. 2	-0.0983024569975	0.921977141624	1	0.928	1.000
N/A vs. N/A	1.5 vs. 5	-0.0567140154286	0.954944358516	1	0.968	1.000
N/A vs. N/A	0.3 vs. 0.5	-0.40051175817	[ 0.69009301]	1	0.744	1.000
N/A vs. N/A	0.3 vs. N/A	0.0985805841458	0.921730833808	1	0.922	1.000
N/A vs. N/A	0.3 vs. 1	-0.104814417801	[ 0.91684584]	1	0.898	1.000
N/A vs. N/A	0.3 vs. 0	1.00186143961	0.319861258791	1	0.307	1.000
N/A vs. N/A	0.3 vs. 2	0.114147477912	0.909452384659	1	0.900	1.000
N/A vs. N/A	0.3 vs. 5	-0.0955344912398	0.924179774016	1	0.941	1.000
N/A vs. N/A	0.5 vs. N/A	-0.849720172119	0.398149545619	1	0.387	1.000
N/A vs. N/A	0.5 vs. 1	0.265353393079	[ 0.791577]	1	0.824	1.000
N/A vs. N/A	0.5 vs. 0	0.007360621779	0.994148063738	1	0.991	1.000
N/A vs. N/A	0.5 vs. 2	-0.611942521464	0.54258702614	1	0.552	1.000
N/A vs. N/A	0.5 vs. 5	-0.164728970556	0.86966079892	1	0.894	1.000
N/A vs. N/A	N/A vs. 1	1.2348641731	0.220685263428	1	0.225	1.000
N/A vs. N/A	N/A vs. 0	2.07811688889	0.039578553715	1	0.046	1.000
N/A vs. N/A	N/A vs. 2	1.12045832162	0.264683906054	1	0.254	1.000
N/A vs. N/A	N/A vs. 5	1.0587288742	0.292620756722	1	0.286	1.000
N/A vs. N/A	1 vs. 0	1.74431423154	0.085493758164	1	0.073	1.000
N/A vs. N/A	1 vs. 2	1.94249954302	0.0561588602461	1	0.059	1.000
N/A vs. N/A	1 vs. 5	1.03168862063	0.305983853428	1	0.286	1.000
N/A vs. N/A	0 vs. 2	2.97333036068	0.00374225426935	1	0.003	1.000
N/A vs. N/A	0 vs. 5	1.48267259337	0.14229640359	1	0.122	1.000
N/A vs. N/A	2 vs. 5	1.36535761851	0.176277002188	1	0.163	1.000
0 vs. 0	2 vs. 2	-0.92625180168	0.363933015594	1	0.353	1.000
0 vs. 0	5 vs. 5	1.11534348827	[ 0.28348304]	1	0.302	1.000
0 vs. 0	1.5 vs. 0.3	3.78396444513	[ 0.00201358]	1	0.056	1.000
0 vs. 0	1.5 vs. 0.5	4.62391175721	[ 0.00039413]	[ 0.21283024]	0.058	1.000
0 vs. 0	1.5 vs. N/A	-5.83254439073	4.40553961275e-06	0.00237899139089	0.001	0.540
0 vs. 0	1.5 vs. 1	0.984621660979	[ 0.34152139]	1	0.388	1.000
0 vs. 0	1.5 vs. 0	-5.34541311787	3.69712591836e-05	0.0199644799591	0.001	0.540
0 vs. 0	1.5 vs. 2	-3.15589985246	0.0054671269041	1	0.009	1.000
0 vs. 0	1.5 vs. 5	-2.06688879232	0.0564568099339	1	0.083	1.000
0 vs. 0	0.3 vs. 0.5	0.501268938152	[ 0.62397128]	1	0.666	1.000
0 vs. 0	0.3 vs. N/A	-2.02693696179	0.0534594113023	1	0.036	1.000
0 vs. 0	0.3 vs. 1	1.25409502355	[ 0.23034359]	1	0.317	1.000
0 vs. 0	0.3 vs. 0	-0.967328280463	0.345532769657	1	0.357	1.000
0 vs. 0	0.3 vs. 2	-3.10207507841	0.00615133290364	1	0.012	1.000
0 vs. 0	0.3 vs. 5	-2.39853300773	0.0299105613625	1	0.015	1.000
0 vs. 0	0.5 vs. N/A	-3.61243099846	0.0013303982511	0.718415055593	0.001	0.540
0 vs. 0	0.5 vs. 1	2.19651805534	[ 0.04539555]	1	0.070	1.000
0 vs. 0	0.5 vs. 0	-3.28418914938	0.00390182808431	1	0.006	1.000
0 vs. 0	0.5 vs. 2	-4.71286798276	0.000173490618437	0.0936849339562	0.002	1.000
0 vs. 0	0.5 vs. 5	-2.51852592986	0.0236251848748	1	0.028	1.000
0 vs. 0	N/A vs. 1	-0.908969577934	0.372046234711	1	0.435	1.000
0 vs. 0	N/A vs. 0	-1.27005515009	0.207530747993	1	0.216	1.000
0 vs. 0	N/A vs. 2	-2.03489247368	0.0454936764709	1	0.046	1.000
0 vs. 0	N/A vs. 5	-1.70165255639	0.0972106018261	1	0.103	1.000
0 vs. 0	1 vs. 0	0.681901885898	0.503529505798	1	0.524	1.000
0 vs. 0	1 vs. 2	1.48337601935	0.155273331102	1	0.155	1.000
0 vs. 0	1 vs. 5	0.471338595132	0.644181201234	1	0.622	1.000
0 vs. 0	0 vs. 2	-0.355026190952	0.724305475335	1	0.719	1.000
0 vs. 0	0 vs. 5	-1.27715720318	0.213281409394	1	0.200	1.000
0 vs. 0	2 vs. 5	-1.08398897515	0.289602512518	1	0.302	1.000
2 vs. 2	5 vs. 5	0.752490790082	[ 0.47097828]	1	0.626	1.000
2 vs. 2	1.5 vs. 0.3	3.42441573099	[ 0.00757484]	1	0.058	1.000
2 vs. 2	1.5 vs. 0.5	4.26540297064	[ 0.00209443]	1	0.074	1.000
2 vs. 2	1.5 vs. N/A	-4.4014065177	0.000275313028462	0.148669035369	0.001	0.540
2 vs. 2	1.5 vs. 1	0.621607117838	[ 0.54961953]	1	0.612	1.000
2 vs. 2	1.5 vs. 0	-4.40573930785	0.00059817129875	0.323012501325	0.001	0.540
2 vs. 2	1.5 vs. 2	-2.30750064229	0.0381243507503	1	0.048	1.000
2 vs. 2	1.5 vs. 5	-1.52528541997	0.158171230377	1	0.144	1.000
2 vs. 2	0.3 vs. 0.5	0.137655962445	[ 0.89354283]	1	0.965	1.000
2 vs. 2	0.3 vs. N/A	-1.26408500875	0.220734143339	1	0.236	1.000
2 vs. 2	0.3 vs. 1	0.891414111786	[ 0.39591303]	1	0.445	1.000
2 vs. 2	0.3 vs. 0	-0.207571291792	0.838552788152	1	0.833	1.000
2 vs. 2	0.3 vs. 2	-2.30461237152	0.0383293295707	1	0.029	1.000
2 vs. 2	0.3 vs. 5	-1.89219186036	0.0877445614373	1	0.086	1.000
2 vs. 2	0.5 vs. N/A	-2.5408508436	0.0194552571539	1	0.006	1.000
2 vs. 2	0.5 vs. 1	1.83500394498	[ 0.09970005]	1	0.064	1.000
2 vs. 2	0.5 vs. 0	-2.37241899992	0.0325411698065	1	0.034	1.000
2 vs. 2	0.5 vs. 2	-3.86202320509	0.00196230261676	1	0.002	1.000
2 vs. 2	0.5 vs. 5	-1.99805775642	0.0736259175009	1	0.072	1.000
2 vs. 2	N/A vs. 1	-0.269931057181	0.789978895339	1	0.846	1.000
2 vs. 2	N/A vs. 0	-0.503993773177	0.615650933501	1	0.632	1.000
2 vs. 2	N/A vs. 2	-1.10491015441	0.273092744585	1	0.288	1.000
2 vs. 2	N/A vs. 5	-0.857446579162	0.397574605025	1	0.411	1.000
2 vs. 2	1 vs. 0	1.49090418724	0.158171310213	1	0.167	1.000
2 vs. 2	1 vs. 2	2.22544469878	0.0443717726057	1	0.051	1.000
2 vs. 2	1 vs. 5	0.977990277017	0.351145273289	1	0.388	1.000
2 vs. 2	0 vs. 2	0.763254282404	0.450024537559	1	0.456	1.000
2 vs. 2	0 vs. 5	-0.177443657792	0.860944713374	1	0.853	1.000
2 vs. 2	2 vs. 5	-0.123199105601	0.903314640997	1	0.917	1.000
5 vs. 5	1.5 vs. 0.3	N/A	N/A	N/A	N/A	N/A
5 vs. 5	1.5 vs. 0.5	N/A	N/A	N/A	N/A	N/A
5 vs. 5	1.5 vs. N/A	-1.07807712925	[ 0.30407307]	1	0.241	1.000
5 vs. 5	1.5 vs. 1	N/A	N/A	N/A	N/A	N/A
5 vs. 5	1.5 vs. 0	-1.71197240021	[ 0.14758135]	1	0.142	1.000
5 vs. 5	1.5 vs. 2	-0.424824118497	[ 0.69282029]	1	0.617	1.000
5 vs. 5	1.5 vs. 5	-0.23171770871	[ 0.8550422]	1	1.000	1.000
5 vs. 5	0.3 vs. 0.5	N/A	N/A	N/A	N/A	N/A
5 vs. 5	0.3 vs. N/A	-0.123523301156	[ 0.90392086]	1	0.936	1.000
5 vs. 5	0.3 vs. 1	N/A	N/A	N/A	N/A	N/A
5 vs. 5	0.3 vs. 0	0.528605249791	[ 0.61969359]	1	0.719	1.000
5 vs. 5	0.3 vs. 2	-0.752195845758	[ 0.49377526]	1	0.560	1.000
5 vs. 5	0.3 vs. 5	-1.89784488491	[ 0.3087261]	1	0.365	1.000
5 vs. 5	0.5 vs. N/A	-0.491661510867	[ 0.63262225]	1	0.507	1.000
5 vs. 5	0.5 vs. 1	N/A	N/A	N/A	N/A	N/A
5 vs. 5	0.5 vs. 0	-0.403732713876	[ 0.70309696]	1	0.767	1.000
5 vs. 5	0.5 vs. 2	-1.48742653202	[ 0.21111347]	1	0.008	1.000
5 vs. 5	0.5 vs. 5	-0.704285988234	[ 0.60937222]	1	0.648	1.000
5 vs. 5	N/A vs. 1	0.248116935009	[ 0.80861484]	1	0.763	1.000
5 vs. 5	N/A vs. 0	0.195837111774	[ 0.84529708]	1	0.862	1.000
5 vs. 5	N/A vs. 2	0.024901845028	[ 0.98021729]	1	0.964	1.000
5 vs. 5	N/A vs. 5	0.0994928582237	[ 0.92160907]	1	0.884	1.000
5 vs. 5	1 vs. 0	2.02501472652	[ 0.09873678]	1	0.292	1.000
5 vs. 5	1 vs. 2	2.6005914804	[ 0.06001077]	1	0.096	1.000
5 vs. 5	1 vs. 5	1.89587712201	[ 0.30899855]	1	0.358	1.000
5 vs. 5	0 vs. 2	1.07965157585	[ 0.28919527]	1	0.267	1.000
5 vs. 5	0 vs. 5	0.939372517092	[ 0.36770923]	1	0.581	1.000
5 vs. 5	2 vs. 5	0.755315311626	[ 0.46936441]	1	0.593	1.000
1.5 vs. 0.3	1.5 vs. 0.5	N/A	N/A	N/A	N/A	N/A
1.5 vs. 0.3	1.5 vs. N/A	0.463178320857	[ 0.65226574]	1	0.495	1.000
1.5 vs. 0.3	1.5 vs. 1	N/A	N/A	N/A	N/A	N/A
1.5 vs. 0.3	1.5 vs. 0	2.11052260848	[ 0.08856318]	1	0.081	1.000
1.5 vs. 0.3	1.5 vs. 2	1.76336937682	[ 0.15261554]	1	0.110	1.000
1.5 vs. 0.3	1.5 vs. 5	0.985367729238	[ 0.50469184]	1	0.652	1.000
1.5 vs. 0.3	0.3 vs. 0.5	N/A	N/A	N/A	N/A	N/A
1.5 vs. 0.3	0.3 vs. N/A	0.883485338664	[ 0.39587278]	1	0.378	1.000
1.5 vs. 0.3	0.3 vs. 1	N/A	N/A	N/A	N/A	N/A
1.5 vs. 0.3	0.3 vs. 0	2.7241660911	[ 0.04156807]	1	0.141	1.000
1.5 vs. 0.3	0.3 vs. 2	6.52919105615	[ 0.00284234]	1	0.128	1.000
1.5 vs. 0.3	0.3 vs. 5	6.87113615862	[ 0.09200536]	1	0.335	1.000
1.5 vs. 0.3	0.5 vs. N/A	0.742115134544	[ 0.47356629]	1	0.367	1.000
1.5 vs. 0.3	0.5 vs. 1	N/A	N/A	N/A	N/A	N/A
1.5 vs. 0.3	0.5 vs. 0	2.30385936516	[ 0.06943718]	1	0.136	1.000
1.5 vs. 0.3	0.5 vs. 2	2.11037440189	[ 0.10244721]	1	0.145	1.000
1.5 vs. 0.3	0.5 vs. 5	1.97178704907	[ 0.29880038]	1	0.342	1.000
1.5 vs. 0.3	N/A vs. 1	1.44426472727	[ 0.17653824]	1	0.113	1.000
1.5 vs. 0.3	N/A vs. 0	1.463632135	[ 0.14770789]	1	0.103	1.000
1.5 vs. 0.3	N/A vs. 2	1.37330922808	[ 0.17485276]	1	0.125	1.000
1.5 vs. 0.3	N/A vs. 5	1.44861248336	[ 0.16094291]	1	0.116	1.000
1.5 vs. 0.3	1 vs. 0	5.85767578042	[ 0.00205497]	1	0.109	1.000
1.5 vs. 0.3	1 vs. 2	6.43811750434	[ 0.00299436]	1	0.114	1.000
1.5 vs. 0.3	1 vs. 5	5.37994296747	[ 0.11699686]	1	0.354	1.000
1.5 vs. 0.3	0 vs. 2	3.93166788025	[ 0.00048148]	[ 0.25999857]	0.025	1.000
