# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within SampleHabitat	All between SampleHabitat	-1.71540147467	0.087038382422	1	0.086	1.000
All within SampleHabitat	Tree vs. Tree	0.524747993136	0.60028199719	1	0.598	1.000
All within SampleHabitat	Flower bed vs. Flower bed	1.14850729529	0.253043455105	1	0.212	1.000
All within SampleHabitat	Footpath vs. Footpath	-0.428423563475	[ 0.66912379]	1	0.633	1.000
All within SampleHabitat	Shrub vs. Shrub	-2.4696022365	0.0148540105915	1	0.015	1.000
All within SampleHabitat	Canal vs. Log	0.743427677204	[ 0.45870045]	1	0.376	1.000
All within SampleHabitat	Canal vs. Open field	2.05972460157	[ 0.04162446]	1	0.045	1.000
All within SampleHabitat	Canal vs. Tree	-5.41563037091	2.79476316462e-07	0.000150917210889	0.001	0.540
All within SampleHabitat	Canal vs. Bench	1.10943539366	[ 0.2694983]	1	0.189	1.000
All within SampleHabitat	Canal vs. Flower bed	-3.20437911768	0.00173413411095	0.936432419915	0.007	1.000
All within SampleHabitat	Canal vs. Footpath	-1.00873840121	0.315146827638	1	0.268	1.000
All within SampleHabitat	Canal vs. Shrub	-2.4307942053	0.0165203673894	1	0.022	1.000
All within SampleHabitat	Log vs. Open field	-0.186202627984	[ 0.85260559]	1	0.854	1.000
All within SampleHabitat	Log vs. Tree	2.18946622913	0.0303206666217	1	0.030	1.000
All within SampleHabitat	Log vs. Bench	-0.62822347311	[ 0.53107159]	1	0.455	1.000
All within SampleHabitat	Log vs. Flower bed	0.764274271114	0.446204047004	1	0.424	1.000
All within SampleHabitat	Log vs. Footpath	0.630394949601	0.529644934415	1	0.487	1.000
All within SampleHabitat	Log vs. Shrub	0.0583540344288	0.953562099831	1	0.954	1.000
All within SampleHabitat	Open field vs. Tree	-0.626288526064	0.532207246336	1	0.526	1.000
All within SampleHabitat	Open field vs. Bench	0.712397349289	[ 0.47762502]	1	0.427	1.000
All within SampleHabitat	Open field vs. Flower bed	0.775768533802	0.439411878543	1	0.422	1.000
All within SampleHabitat	Open field vs. Footpath	0.108404479515	0.913857421355	1	0.908	1.000
All within SampleHabitat	Open field vs. Shrub	-0.999327098231	0.31961422875	1	0.293	1.000
All within SampleHabitat	Tree vs. Bench	1.59471642994	0.113167244703	1	0.118	1.000
All within SampleHabitat	Tree vs. Flower bed	-0.117292855337	0.906773278783	1	0.909	1.000
All within SampleHabitat	Tree vs. Footpath	0.748610119114	0.455288350321	1	0.458	1.000
All within SampleHabitat	Tree vs. Shrub	-2.23473871432	0.0265872309217	1	0.025	1.000
All within SampleHabitat	Bench vs. Flower bed	-0.906413640439	0.366533413671	1	0.338	1.000
All within SampleHabitat	Bench vs. Footpath	0.747740933906	0.456091535167	1	0.420	1.000
All within SampleHabitat	Bench vs. Shrub	-0.466456258701	0.641720796775	1	0.609	1.000
All within SampleHabitat	Flower bed vs. Footpath	0.608459491446	0.544004767326	1	0.502	1.000
All within SampleHabitat	Flower bed vs. Shrub	-2.14318391986	0.03393240508	1	0.033	1.000
All within SampleHabitat	Footpath vs. Shrub	-0.99009652814	0.324009566967	1	0.320	1.000
