# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within SampleNearbyObjects	All between SampleNearbyObjects	-3.09738686671	0.00208863870257	1	0.003	1.000
All within SampleNearbyObjects	Plants vs. Plants	0.957718591731	0.340098734542	1	0.351	1.000
All within SampleNearbyObjects	Twigs vs. Twigs	-3.93174804047	0.000147828979222	0.105697720144	0.006	1.000
All within SampleNearbyObjects	N/A vs. N/A	0.274240970037	0.7841853466	1	0.786	1.000
All within SampleNearbyObjects	Plants vs. Radishes	0.869746199825	0.386282863797	1	0.361	1.000
All within SampleNearbyObjects	Plants vs. Geranium Rozanne	2.15321405591	0.0334275108205	1	0.029	1.000
All within SampleNearbyObjects	Plants vs. Bird feed	-0.196199857607	0.844806147887	1	0.845	1.000
All within SampleNearbyObjects	Plants vs. Twigs	-4.26624995538	3.88905838942e-05	0.0278067674843	0.002	1.000
All within SampleNearbyObjects	Plants vs. N/A	1.03774982713	0.300698517729	1	0.298	1.000
All within SampleNearbyObjects	Plants vs. Bark chips	-0.760408035811	0.448594436228	1	0.440	1.000
All within SampleNearbyObjects	Plants vs. Ivy	-4.17828516096	5.8111477395e-05	0.0415497063374	0.001	0.715
All within SampleNearbyObjects	Plants vs. Fertiliser	-1.41242974652	0.16057164517	1	0.159	1.000
All within SampleNearbyObjects	Radishes vs. Geranium Rozanne	0.212929414279	[ 0.83178342]	1	0.831	1.000
All within SampleNearbyObjects	Radishes vs. Bird feed	0.0251882633586	[ 0.97995128]	1	0.966	1.000
All within SampleNearbyObjects	Radishes vs. Twigs	-0.963272709173	0.337523520953	1	0.306	1.000
All within SampleNearbyObjects	Radishes vs. N/A	1.55802705908	0.121838580821	1	0.118	1.000
All within SampleNearbyObjects	Radishes vs. Bark chips	-0.678833784691	[ 0.4986953]	1	0.446	1.000
All within SampleNearbyObjects	Radishes vs. Ivy	0.730354201751	[ 0.46675506]	1	0.474	1.000
All within SampleNearbyObjects	Radishes vs. Fertiliser	1.03075244026	[ 0.30495974]	1	0.221	1.000
All within SampleNearbyObjects	Geranium Rozanne vs. Bird feed	-0.177508194333	[ 0.85944172]	1	0.858	1.000
All within SampleNearbyObjects	Geranium Rozanne vs. Twigs	-2.53939581688	0.0125015887107	1	0.025	1.000
All within SampleNearbyObjects	Geranium Rozanne vs. N/A	0.707798027015	0.480431832553	1	0.419	1.000
All within SampleNearbyObjects	Geranium Rozanne vs. Bark chips	0.729965704399	[ 0.46699152]	1	0.467	1.000
All within SampleNearbyObjects	Geranium Rozanne vs. Ivy	2.34160669788	[ 0.02103523]	1	0.032	1.000
All within SampleNearbyObjects	Geranium Rozanne vs. Fertiliser	-0.188228399343	[ 0.85105083]	1	0.848	1.000
All within SampleNearbyObjects	Bird feed vs. Twigs	-2.95093384914	0.00387231175787	1	0.017	1.000
All within SampleNearbyObjects	Bird feed vs. N/A	0.416940393337	0.67746077225	1	0.675	1.000
All within SampleNearbyObjects	Bird feed vs. Bark chips	-0.0304847171799	[ 0.97573675]	1	0.963	1.000
All within SampleNearbyObjects	Bird feed vs. Ivy	2.46940423645	[ 0.01510012]	1	0.021	1.000
All within SampleNearbyObjects	Bird feed vs. Fertiliser	1.547799639	[ 0.12459595]	1	0.088	1.000
All within SampleNearbyObjects	Twigs vs. N/A	-4.93331965397	2.13629217109e-06	0.00152744890233	0.001	0.715
All within SampleNearbyObjects	Twigs vs. Bark chips	-2.93441066326	0.00406847669343	1	0.011	1.000
