# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within SamplePh	All between SamplePh	-0.593577430928	0.55312695658	1	0.569	1.000
All within SamplePh	8.5 vs. 8.5	-3.75608004007	0.000356913569027	0.22378480778	0.005	1.000
All within SamplePh	5.5 vs. 5.5	-0.202523438803	0.840078730733	1	0.821	1.000
All within SamplePh	6.5 vs. 6.5	-0.823042254993	[ 0.41340383]	1	0.323	1.000
All within SamplePh	5 vs. 5	0.211965026167	0.832630114128	1	0.840	1.000
All within SamplePh	9 vs. 9	0.937132905029	0.350903826772	1	0.375	1.000
All within SamplePh	8 vs. 8	0.214750579142	[ 0.83061409]	1	0.805	1.000
All within SamplePh	8.5 vs. 5.5	-3.86113045569	0.000231469597933	0.145131437904	0.002	1.000
All within SamplePh	8.5 vs. 5.6	-0.899302661331	0.371619237922	1	0.325	1.000
All within SamplePh	8.5 vs. 5.7	-1.75921935872	0.0829733427511	1	0.079	1.000
All within SamplePh	8.5 vs. 6.5	-1.51332210907	0.134575317615	1	0.116	1.000
All within SamplePh	8.5 vs. 5	-3.42273272466	0.000947025320399	0.59378487589	0.001	0.627
All within SamplePh	8.5 vs. 9	-2.8879483618	0.00482282651265	1	0.005	1.000
All within SamplePh	8.5 vs. 8	-1.78549306862	0.0783926271857	1	0.069	1.000
All within SamplePh	5.5 vs. 5.6	0.385786514929	0.700824763949	1	0.649	1.000
All within SamplePh	5.5 vs. 5.7	1.0003784039	0.320573067132	1	0.266	1.000
All within SamplePh	5.5 vs. 6.5	1.20704964005	0.231257283334	1	0.217	1.000
All within SamplePh	5.5 vs. 5	-0.531969218134	0.596002387191	1	0.597	1.000
All within SamplePh	5.5 vs. 9	-0.805888428717	0.422182017178	1	0.424	1.000
All within SamplePh	5.5 vs. 8	-0.146201961723	0.884159503403	1	0.873	1.000
All within SamplePh	5.6 vs. 5.7	-0.893039784942	[ 0.37503235]	1	0.293	1.000
All within SamplePh	5.6 vs. 6.5	1.23202145529	0.222184334276	1	0.138	1.000
All within SamplePh	5.6 vs. 5	1.12099448151	0.265964406724	1	0.251	1.000
All within SamplePh	5.6 vs. 9	1.1996612973	0.23404701519	1	0.211	1.000
All within SamplePh	5.6 vs. 8	0.832948814125	0.407789665333	1	0.296	1.000
All within SamplePh	5.7 vs. 6.5	0.653196251938	0.515832310305	1	0.418	1.000
All within SamplePh	5.7 vs. 5	0.00692654947861	0.994492351461	1	0.995	1.000
All within SamplePh	5.7 vs. 9	-0.356636933278	0.72236503118	1	0.724	1.000
All within SamplePh	5.7 vs. 8	0.0675374711279	0.94635202432	1	0.931	1.000
All within SamplePh	6.5 vs. 5	1.96159449415	0.053288228626	1	0.052	1.000
All within SamplePh	6.5 vs. 9	2.29278622651	0.0243598734073	1	0.024	1.000
All within SamplePh	6.5 vs. 8	1.12216435929	0.265627040984	1	0.230	1.000
All within SamplePh	5 vs. 9	0.739763296438	0.460787763846	1	0.442	1.000
All within SamplePh	5 vs. 8	0.941888454975	0.349085370302	1	0.366	1.000
All within SamplePh	9 vs. 8	1.27329112722	0.206427180987	1	0.207	1.000
All between SamplePh	8.5 vs. 8.5	-3.2471612399	0.00128208894044	0.803869765656	0.005	1.000
All between SamplePh	5.5 vs. 5.5	0.0191838586036	0.98470562112	1	0.988	1.000
All between SamplePh	6.5 vs. 6.5	-0.74598225448	[ 0.45619816]	1	0.382	1.000
All between SamplePh	5 vs. 5	0.531105742274	0.59567576836	1	0.576	1.000
All between SamplePh	9 vs. 9	1.27688802183	0.202438240904	1	0.207	1.000
All between SamplePh	8 vs. 8	0.0982067889824	[ 0.92182648]	1	0.886	1.000
All between SamplePh	8.5 vs. 5.5	-3.316057809	0.00100921700241	0.632779060514	0.006	1.000
All between SamplePh	8.5 vs. 5.6	-0.655453219448	0.512620545347	1	0.521	1.000
All between SamplePh	8.5 vs. 5.7	-1.34189402738	0.180528452058	1	0.143	1.000
All between SamplePh	8.5 vs. 6.5	-1.19871612079	0.231468286982	1	0.236	1.000
All between SamplePh	8.5 vs. 5	-3.36938492814	0.000835627785419	0.523938621458	0.003	1.000
All between SamplePh	8.5 vs. 9	-3.07321557415	0.00227773309831	1	0.005	1.000
All between SamplePh	8.5 vs. 8	-1.45328469069	0.147061674691	1	0.133	1.000
All between SamplePh	5.5 vs. 5.6	0.470994580574	0.637946645921	1	0.653	1.000
All between SamplePh	5.5 vs. 5.7	0.966814830092	0.33432380217	1	0.345	1.000
All between SamplePh	5.5 vs. 6.5	1.22951586013	0.219718731743	1	0.209	1.000
All between SamplePh	5.5 vs. 5	-0.0941401009453	0.925049663537	1	0.928	1.000
All between SamplePh	5.5 vs. 9	-0.325812471036	0.744749436226	1	0.747	1.000
All between SamplePh	5.5 vs. 8	0.0926563462307	0.926230515295	1	0.930	1.000
All between SamplePh	5.6 vs. 5.7	-0.802921506621	[ 0.42258601]	1	0.303	1.000
All between SamplePh	5.6 vs. 6.5	1.11075452772	0.267463556259	1	0.232	1.000
All between SamplePh	5.6 vs. 5	1.13345126543	0.257816405203	1	0.263	1.000
All between SamplePh	5.6 vs. 9	1.21256471619	0.226125954234	1	0.234	1.000
All between SamplePh	5.6 vs. 8	0.786485696554	0.432134053581	1	0.412	1.000
All between SamplePh	5.7 vs. 6.5	0.639574992005	0.522882185399	1	0.508	1.000
All between SamplePh	5.7 vs. 5	0.207424440405	0.835801490127	1	0.866	1.000
All between SamplePh	5.7 vs. 9	-0.0668479990831	0.946741433027	1	0.941	1.000
All between SamplePh	5.7 vs. 8	0.163099643281	0.870537452141	1	0.870	1.000
All between SamplePh	6.5 vs. 5	1.92867817807	0.0545792524749	1	0.051	1.000
All between SamplePh	6.5 vs. 9	2.25268154484	0.0248911510993	1	0.027	1.000
All between SamplePh	6.5 vs. 8	1.06679852409	0.286819735977	1	0.288	1.000
All between SamplePh	5 vs. 9	1.31992801833	0.187615813572	1	0.186	1.000
All between SamplePh	5 vs. 8	1.09292545188	0.275178206376	1	0.288	1.000
All between SamplePh	9 vs. 8	1.41868205002	0.156871525277	1	0.125	1.000
8.5 vs. 8.5	5.5 vs. 5.5	1.95170885636	0.0919358376698	1	0.104	1.000
8.5 vs. 8.5	6.5 vs. 6.5	-0.95474334133	[ 0.44046708]	1	0.669	1.000
