# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within SamplePhosphorus	All between SamplePhosphorus	-0.369601766332	0.711872889769	1	0.690	1.000
All within SamplePhosphorus	Medium vs. Medium	-0.5553626364	0.579168266721	1	0.586	1.000
All within SamplePhosphorus	High vs. High	-0.75903086144	[ 0.4491672]	1	0.308	1.000
All within SamplePhosphorus	Trace-Low vs. Trace-Low	1.56523646939	[ 0.11988602]	1	0.112	1.000
All within SamplePhosphorus	Low vs. Low	1.61828400521	0.107558810951	1	0.093	1.000
All within SamplePhosphorus	Low-Medium vs. Medium	-1.03668697948	0.301572596814	1	0.289	1.000
All within SamplePhosphorus	Low-Medium vs. Trace	-0.748968891392	[ 0.45518867]	1	0.296	1.000
All within SamplePhosphorus	Low-Medium vs. High	-0.590584285055	0.555786383482	1	0.551	1.000
All within SamplePhosphorus	Low-Medium vs. Trace-Low	-0.410792062058	0.68187631394	1	0.686	1.000
All within SamplePhosphorus	Low-Medium vs. Low	0.184013519899	0.854267224742	1	0.838	1.000
All within SamplePhosphorus	Medium vs. Trace	0.388127037773	0.698479727753	1	0.669	1.000
All within SamplePhosphorus	Medium vs. High	0.101112514358	0.919585411237	1	0.933	1.000
All within SamplePhosphorus	Medium vs. Trace-Low	-3.23803648212	0.00145835812075	0.301880130995	0.002	0.414
All within SamplePhosphorus	Medium vs. Low	0.648269173447	0.517398784186	1	0.510	1.000
All within SamplePhosphorus	Trace vs. High	-0.232129627692	0.816788851122	1	0.843	1.000
All within SamplePhosphorus	Trace vs. Trace-Low	0.0308749541984	0.975414862824	1	0.979	1.000
All within SamplePhosphorus	Trace vs. Low	1.35488591735	0.177620736921	1	0.176	1.000
All within SamplePhosphorus	High vs. Trace-Low	-0.814728935596	0.416641493507	1	0.430	1.000
All within SamplePhosphorus	High vs. Low	0.913747808721	0.362325603095	1	0.388	1.000
All within SamplePhosphorus	Trace-Low vs. Low	-0.818168812654	0.414567309598	1	0.447	1.000
All between SamplePhosphorus	Medium vs. Medium	-0.353040185887	0.724257206889	1	0.713	1.000
All between SamplePhosphorus	High vs. High	-0.885364515818	[ 0.37674787]	1	0.261	1.000
All between SamplePhosphorus	Trace-Low vs. Trace-Low	1.70220095356	[ 0.08986869]	1	0.069	1.000
All between SamplePhosphorus	Low vs. Low	2.02149991764	0.0441246659543	1	0.038	1.000
All between SamplePhosphorus	Low-Medium vs. Medium	-1.0246706621	0.306390591092	1	0.324	1.000
All between SamplePhosphorus	Low-Medium vs. Trace	-0.874162703572	[ 0.38280652]	1	0.288	1.000
All between SamplePhosphorus	Low-Medium vs. High	-0.600399249935	0.548741942399	1	0.503	1.000
