# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within SamplePotassium	All between SamplePotassium	-1.85895726224	0.0637601107494	1	0.077	1.000
All within SamplePotassium	Medium vs. Medium	-1.09963395914	0.273313982266	1	0.269	1.000
All within SamplePotassium	Trace-Low vs. Trace-Low	-0.0780905936876	[ 0.93787077]	1	0.968	1.000
All within SamplePotassium	Low vs. Low	-2.95226830202	0.00364222596844	0.240386913917	0.007	0.462
All within SamplePotassium	Trace vs. Trace	1.71737998429	0.0871997276117	1	0.099	1.000
All within SamplePotassium	Medium vs. Trace-Low	-0.436706508465	0.662973820657	1	0.659	1.000
All within SamplePotassium	Medium vs. Low	-2.71984672627	0.0072097922771	0.475846290288	0.012	0.792
All within SamplePotassium	Medium vs. Trace	-0.349660487872	0.726943911963	1	0.733	1.000
All within SamplePotassium	Trace-Low vs. Low	-1.95753749688	0.0521528398029	1	0.047	1.000
All within SamplePotassium	Trace-Low vs. Trace	1.10906831894	0.269014586737	1	0.263	1.000
All within SamplePotassium	Low vs. Trace	-2.11198851342	0.035721128059	1	0.034	1.000
All between SamplePotassium	Medium vs. Medium	-0.343064257745	0.731810330369	1	0.748	1.000
All between SamplePotassium	Trace-Low vs. Trace-Low	-0.246947022828	[ 0.80513829]	1	0.793	1.000
All between SamplePotassium	Low vs. Low	-1.94135547707	0.0531904338269	1	0.055	1.000
All between SamplePotassium	Trace vs. Trace	3.31006106065	0.00102393128653	0.0675794649109	0.002	0.132
All between SamplePotassium	Medium vs. Trace-Low	0.206690110822	0.836403728793	1	0.842	1.000
All between SamplePotassium	Medium vs. Low	-1.44458146924	0.149612186891	1	0.157	1.000
All between SamplePotassium	Medium vs. Trace	1.17239632322	0.241853974587	1	0.234	1.000
All between SamplePotassium	Trace-Low vs. Low	-1.05124902849	0.294047429879	1	0.285	1.000
All between SamplePotassium	Trace-Low vs. Trace	1.92268043239	0.0554763654662	1	0.050	1.000
All between SamplePotassium	Low vs. Trace	-0.713323822706	0.476092647326	1	0.450	1.000
Medium vs. Medium	Trace-Low vs. Trace-Low	-0.404235658163	[ 0.69547695]	1	0.780	1.000
