# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within SoilTexture	All between SoilTexture	-0.252828345863	0.80052945388	1	0.805	1.000
All within SoilTexture	Loam vs. Loam	2.50948236472	0.0130854711843	0.863641098165	0.021	1.000
All within SoilTexture	Sandy loam vs. Sandy loam	0.0327646106388	0.973921143343	1	0.975	1.000
All within SoilTexture	Slit loam vs. Slit loam	-2.00274507336	0.0471219069187	1	0.045	1.000
All within SoilTexture	Clay vs. Clay	-1.42079619357	0.158081808717	1	0.143	1.000
All within SoilTexture	Loam vs. Sandy loam	1.78220719765	0.0767520268447	1	0.072	1.000
All within SoilTexture	Loam vs. Slit loam	-0.146078800129	0.884003427179	1	0.871	1.000
All within SoilTexture	Loam vs. Clay	0.658432399229	0.511206655746	1	0.518	1.000
All within SoilTexture	Sandy loam vs. Slit loam	-1.45582869589	0.147662963715	1	0.151	1.000
All within SoilTexture	Sandy loam vs. Clay	-0.0207995271557	0.983438739815	1	0.982	1.000
All within SoilTexture	Slit loam vs. Clay	-1.63385237501	0.104386993876	1	0.094	1.000
All between SoilTexture	Loam vs. Loam	2.68739373138	0.00754309318344	0.497844150107	0.010	0.660
All between SoilTexture	Sandy loam vs. Sandy loam	0.0997996511996	0.920569382351	1	0.920	1.000
All between SoilTexture	Slit loam vs. Slit loam	-2.05111984189	0.041037341973	1	0.035	1.000
All between SoilTexture	Clay vs. Clay	-1.29728405352	0.195507491822	1	0.214	1.000
All between SoilTexture	Loam vs. Sandy loam	1.93161053912	0.0542359433041	1	0.048	1.000
All between SoilTexture	Loam vs. Slit loam	0.0560342714801	0.955342765887	1	0.961	1.000
