# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within SampleDepth	All between SampleDepth	-0.143339940668	0.886093179552	1	0.905	1.000
All within SampleDepth	11 vs. 11	-0.985457434686	[ 0.32914427]	1	0.478	1.000
All within SampleDepth	10 vs. 10	0.229090451514	0.819296317098	1	0.810	1.000
All within SampleDepth	16 vs. 16	0.165394230755	[ 0.86930062]	1	0.919	1.000
All within SampleDepth	15 vs. 15	1.97012230041	[ 0.0543753]	1	0.015	1.000
All within SampleDepth	3 vs. 3	0.387470940549	[ 0.70005213]	1	0.789	1.000
All within SampleDepth	9.5 vs. 9.5	1.02776254379	[ 0.309008]	1	0.335	1.000
All within SampleDepth	14 vs. 14	-0.483240382833	[ 0.63103449]	1	0.722	1.000
All within SampleDepth	11 vs. 10	2.11935556464	0.0376609485133	1	0.038	1.000
All within SampleDepth	11 vs. 12	0.0247303497262	0.98036655876	1	0.970	1.000
All within SampleDepth	11 vs. 10.5	1.57152115385	0.122245710284	1	0.109	1.000
All within SampleDepth	11 vs. 7	0.995106669633	0.324382494184	1	0.376	1.000
All within SampleDepth	11 vs. 16	1.01248705425	0.315905320997	1	0.312	1.000
All within SampleDepth	11 vs. 11.5	1.20784363229	0.232678813179	1	0.251	1.000
All within SampleDepth	11 vs. 8.5	-0.69783223783	0.488451605126	1	0.490	1.000
All within SampleDepth	11 vs. 15	-0.544878967976	0.588122339293	1	0.608	1.000
All within SampleDepth	11 vs. 3	0.541592489911	0.59036887328	1	0.577	1.000
All within SampleDepth	11 vs. 12.5	0.129816779984	0.897222050817	1	0.905	1.000
All within SampleDepth	11 vs. 10.8	1.26731176985	0.210800161428	1	0.234	1.000
All within SampleDepth	11 vs. 9.5	-0.754952626841	0.453619236498	1	0.453	1.000
All within SampleDepth	11 vs. 14	2.07003670186	0.0433372880567	1	0.045	1.000
All within SampleDepth	10 vs. 12	-0.524897344862	0.601621439124	1	0.593	1.000
All within SampleDepth	10 vs. 10.5	2.01218945024	0.0487726257504	1	0.056	1.000
All within SampleDepth	10 vs. 7	1.0639605612	0.291681789906	1	0.323	1.000
All within SampleDepth	10 vs. 16	0.308073602213	0.758954424871	1	0.773	1.000
All within SampleDepth	10 vs. 11.5	1.91712673983	0.0600680250308	1	0.066	1.000
All within SampleDepth	10 vs. 8.5	-2.17407603817	0.0337229010689	1	0.030	1.000
All within SampleDepth	10 vs. 15	-0.925467816163	0.357948176518	1	0.362	1.000
All within SampleDepth	10 vs. 3	0.122616974891	0.902766853187	1	0.897	1.000
All within SampleDepth	10 vs. 12.5	-1.69717532662	0.0949333424897	1	0.100	1.000
All within SampleDepth	10 vs. 10.8	1.83389556319	0.071714343706	1	0.068	1.000
All within SampleDepth	10 vs. 9.5	-3.1386050372	0.00249751673235	1	0.004	1.000
All within SampleDepth	10 vs. 14	2.10085623422	0.0393091889133	1	0.044	1.000
All within SampleDepth	12 vs. 10.5	0.40293324948	[ 0.68871509]	1	0.786	1.000
All within SampleDepth	12 vs. 7	0.70624827049	[ 0.48331184]	1	0.587	1.000
All within SampleDepth	12 vs. 16	-0.0337873138157	0.973178644329	1	0.964	1.000
All within SampleDepth	12 vs. 11.5	0.428000645452	[ 0.67048863]	1	0.760	1.000
All within SampleDepth	12 vs. 8.5	1.39412865523	[ 0.16944354]	1	0.135	1.000
All within SampleDepth	12 vs. 15	-0.269054814555	0.788973012098	1	0.806	1.000
All within SampleDepth	12 vs. 3	-1.00534696401	0.31947609424	1	0.364	1.000
All within SampleDepth	12 vs. 12.5	-0.476380740845	[ 0.63587839]	1	0.753	1.000
All within SampleDepth	12 vs. 10.8	0.381593045563	[ 0.70438014]	1	0.838	1.000
All within SampleDepth	12 vs. 9.5	-0.239898883795	0.811370270838	1	0.804	1.000
All within SampleDepth	12 vs. 14	-0.360178499081	0.720201045288	1	0.715	1.000
All within SampleDepth	10.5 vs. 7	-1.48356842931	[ 0.14420016]	1	0.090	1.000
All within SampleDepth	10.5 vs. 16	0.208622424258	0.835573996198	1	0.860	1.000
All within SampleDepth	10.5 vs. 11.5	-2.08183439169	[ 0.04249638]	1	0.042	1.000
All within SampleDepth	10.5 vs. 8.5	0.669234344313	[ 0.50642458]	1	0.594	1.000
All within SampleDepth	10.5 vs. 15	-0.175251722277	0.86157579141	1	0.862	1.000
All within SampleDepth	10.5 vs. 3	1.0221878236	0.311516427457	1	0.344	1.000
All within SampleDepth	10.5 vs. 12.5	0.730116245488	[ 0.46872627]	1	0.618	1.000
All within SampleDepth	10.5 vs. 10.8	-1.35744689735	[ 0.18073492]	1	0.137	1.000
All within SampleDepth	10.5 vs. 9.5	-1.20436863235	0.234006812695	1	0.240	1.000
All within SampleDepth	10.5 vs. 14	1.67394438698	0.10026465158	1	0.089	1.000
All within SampleDepth	7 vs. 16	-0.139412796976	0.889673053925	1	0.884	1.000
All within SampleDepth	7 vs. 11.5	-1.81817720503	[ 0.07503006]	1	0.092	1.000
All within SampleDepth	7 vs. 8.5	0.677879556663	[ 0.50097314]	1	0.616	1.000
All within SampleDepth	7 vs. 15	-0.298979363842	0.766170738706	1	0.792	1.000
All within SampleDepth	7 vs. 3	0.831855052188	0.409368928212	1	0.428	1.000
All within SampleDepth	7 vs. 12.5	1.52563198139	[ 0.13340273]	1	0.079	1.000
All within SampleDepth	7 vs. 10.8	-1.25222025047	[ 0.21631549]	1	0.142	1.000
All within SampleDepth	7 vs. 9.5	-2.36763996361	0.0217325285452	1	0.023	1.000
All within SampleDepth	7 vs. 14	1.28263539441	0.205418879946	1	0.225	1.000
All within SampleDepth	16 vs. 11.5	0.256366835749	0.798698930514	1	0.814	1.000
All within SampleDepth	16 vs. 8.5	-0.479735068003	0.633466834978	1	0.652	1.000
All within SampleDepth	16 vs. 15	-0.502801693199	0.617186740034	1	0.620	1.000
All within SampleDepth	16 vs. 3	-0.607737801112	0.545956777673	1	0.548	1.000
All within SampleDepth	16 vs. 12.5	-0.683206475137	0.497568535602	1	0.519	1.000
All within SampleDepth	16 vs. 10.8	0.769075009171	0.445396000852	1	0.489	1.000
All within SampleDepth	16 vs. 9.5	-2.01341581871	0.0491612988212	1	0.044	1.000
All within SampleDepth	16 vs. 14	1.07954318173	0.285234053285	1	0.286	1.000
All within SampleDepth	11.5 vs. 8.5	0.553675472285	[ 0.58226864]	1	0.672	1.000
All within SampleDepth	11.5 vs. 15	-0.114763782666	0.909083003317	1	0.899	1.000
All within SampleDepth	11.5 vs. 3	1.41260163854	0.16384653278	1	0.197	1.000
All within SampleDepth	11.5 vs. 12.5	0.824091188418	[ 0.41380164]	1	0.554	1.000
All within SampleDepth	11.5 vs. 10.8	-1.33909196744	[ 0.18659686]	1	0.153	1.000
All within SampleDepth	11.5 vs. 9.5	-1.33684009349	0.187207846852	1	0.238	1.000
All within SampleDepth	11.5 vs. 14	1.48297299921	0.144235274656	1	0.151	1.000
All within SampleDepth	8.5 vs. 15	-1.27585051119	0.207788751236	1	0.236	1.000
All within SampleDepth	8.5 vs. 3	-1.29099578982	0.20252659062	1	0.221	1.000
All within SampleDepth	8.5 vs. 12.5	1.50298664826	[ 0.13913274]	1	0.077	1.000
All within SampleDepth	8.5 vs. 10.8	-0.351921872091	[ 0.72637578]	1	0.848	1.000
All within SampleDepth	8.5 vs. 9.5	-2.96600516198	0.00458145842523	1	0.009	1.000
All within SampleDepth	8.5 vs. 14	0.0617698229755	0.950987579795	1	0.937	1.000
All within SampleDepth	15 vs. 3	-1.24945838608	0.216987285447	1	0.227	1.000
All within SampleDepth	15 vs. 12.5	-1.11345446836	0.27073372414	1	0.303	1.000
All within SampleDepth	15 vs. 10.8	0.0835118527453	0.933771491089	1	0.935	1.000
All within SampleDepth	15 vs. 9.5	-2.09150676238	0.0412910041979	1	0.040	1.000
All within SampleDepth	15 vs. 14	0.0605277306135	0.95196299703	1	0.940	1.000
All within SampleDepth	3 vs. 12.5	-1.83761247418	0.0719483282913	1	0.057	1.000
All within SampleDepth	3 vs. 10.8	1.30434171454	0.197973025455	1	0.220	1.000
All within SampleDepth	3 vs. 9.5	-2.91960807219	0.0051358068086	1	0.005	1.000
All within SampleDepth	3 vs. 14	0.892726878586	0.376039039105	1	0.400	1.000
All within SampleDepth	12.5 vs. 10.8	0.890125938482	[ 0.37766131]	1	0.504	1.000
All within SampleDepth	12.5 vs. 9.5	0.599987585599	0.551171210663	1	0.587	1.000
