# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within SampleDistanceFromTree	All between SampleDistanceFromTree	-0.365811819284	0.714696965747	1	0.732	1.000
All within SampleDistanceFromTree	N/A vs. N/A	-1.33643561164	0.18335291845	1	0.183	1.000
All within SampleDistanceFromTree	0 vs. 0	2.45483756732	0.0157378066924	1	0.013	1.000
All within SampleDistanceFromTree	2 vs. 2	1.55236022123	0.123735268929	1	0.118	1.000
All within SampleDistanceFromTree	5 vs. 5	0.807547513221	[ 0.42145695]	1	0.461	1.000
All within SampleDistanceFromTree	1.5 vs. 0.3	3.01869790957	[ 0.00329328]	1	0.006	1.000
All within SampleDistanceFromTree	1.5 vs. 0.5	2.94343393816	[ 0.0041185]	1	0.005	1.000
All within SampleDistanceFromTree	1.5 vs. N/A	-7.01207115196	2.61922727128e-10	1.41438272649e-07	0.001	0.540
All within SampleDistanceFromTree	1.5 vs. 1	1.48324538727	[ 0.14146445]	1	0.131	1.000
All within SampleDistanceFromTree	1.5 vs. 0	-4.40633429773	2.73726374216e-05	0.0147812242077	0.001	0.540
All within SampleDistanceFromTree	1.5 vs. 2	-3.01649304146	0.00328110261824	1	0.004	1.000
All within SampleDistanceFromTree	1.5 vs. 5	-0.950772702462	0.344210874718	1	0.349	1.000
All within SampleDistanceFromTree	0.3 vs. 0.5	0.0503283702028	[ 0.95997102]	1	0.985	1.000
All within SampleDistanceFromTree	0.3 vs. N/A	-2.55092031124	0.0122289624664	1	0.013	1.000
All within SampleDistanceFromTree	0.3 vs. 1	0.705206096865	[ 0.48248319]	1	0.544	1.000
All within SampleDistanceFromTree	0.3 vs. 0	-0.591215931325	0.555765279581	1	0.564	1.000
All within SampleDistanceFromTree	0.3 vs. 2	-1.84693237888	0.0678697099558	1	0.058	1.000
All within SampleDistanceFromTree	0.3 vs. 5	-1.49837574405	0.13745913785	1	0.146	1.000
All within SampleDistanceFromTree	0.5 vs. N/A	-1.45873304475	0.147711170641	1	0.157	1.000
All within SampleDistanceFromTree	0.5 vs. 1	0.599899546208	[ 0.55006409]	1	0.614	1.000
All within SampleDistanceFromTree	0.5 vs. 0	0.0259015652969	0.979389617447	1	0.969	1.000
All within SampleDistanceFromTree	0.5 vs. 2	-0.999743316083	0.319974438519	1	0.308	1.000
All within SampleDistanceFromTree	0.5 vs. 5	-1.07106334535	0.28694274303	1	0.306	1.000
All within SampleDistanceFromTree	N/A vs. 1	0.900947242419	0.369738725639	1	0.386	1.000
All within SampleDistanceFromTree	N/A vs. 0	1.83628402761	0.0681486228554	1	0.074	1.000
All within SampleDistanceFromTree	N/A vs. 2	0.998384925018	0.31970058717	1	0.324	1.000
All within SampleDistanceFromTree	N/A vs. 5	-0.597860476411	0.551118872636	1	0.545	1.000
All within SampleDistanceFromTree	1 vs. 0	1.74321538878	0.0844976774992	1	0.089	1.000
All within SampleDistanceFromTree	1 vs. 2	2.28176348194	0.0247357055313	1	0.027	1.000
All within SampleDistanceFromTree	1 vs. 5	0.779337737841	0.437780960991	1	0.441	1.000
All within SampleDistanceFromTree	0 vs. 2	3.32319267402	0.00118025187572	0.637336012888	0.004	1.000
All within SampleDistanceFromTree	0 vs. 5	0.442927172942	0.658756355203	1	0.648	1.000
All within SampleDistanceFromTree	2 vs. 5	1.18374108737	0.239321819106	1	0.238	1.000
All between SampleDistanceFromTree	N/A vs. N/A	-1.18769276147	0.235700238023	1	0.236	1.000
All between SampleDistanceFromTree	0 vs. 0	2.53932520244	0.0115694737702	1	0.015	1.000
All between SampleDistanceFromTree	2 vs. 2	1.62805473729	0.104491286487	1	0.100	1.000
All between SampleDistanceFromTree	5 vs. 5	0.71720541285	[ 0.47378223]	1	0.495	1.000
All between SampleDistanceFromTree	1.5 vs. 0.3	2.79791513981	[ 0.00546209]	1	0.006	1.000
All between SampleDistanceFromTree	1.5 vs. 0.5	2.72709115712	[ 0.00674992]	1	0.010	1.000
All between SampleDistanceFromTree	1.5 vs. N/A	-6.61452201416	1.54043147794e-10	8.31832998088e-08	0.001	0.540
All between SampleDistanceFromTree	1.5 vs. 1	1.35304236964	[ 0.17701856]	1	0.152	1.000
All between SampleDistanceFromTree	1.5 vs. 0	-4.05813586117	6.23108581562e-05	0.0336478634043	0.001	0.540
All between SampleDistanceFromTree	1.5 vs. 2	-2.76314250616	0.00605925416285	1	0.006	1.000
All between SampleDistanceFromTree	1.5 vs. 5	-0.843321568222	0.399690578844	1	0.413	1.000
All between SampleDistanceFromTree	0.3 vs. 0.5	0.00465630767898	[ 0.99628778]	1	0.999	1.000
All between SampleDistanceFromTree	0.3 vs. N/A	-2.30387712004	0.0218620056856	1	0.019	1.000
All between SampleDistanceFromTree	0.3 vs. 1	0.620901343785	[ 0.53511641]	1	0.545	1.000
All between SampleDistanceFromTree	0.3 vs. 0	-0.456146741158	0.648595821394	1	0.681	1.000
All between SampleDistanceFromTree	0.3 vs. 2	-1.64372942922	0.101223481851	1	0.116	1.000
All between SampleDistanceFromTree	0.3 vs. 5	-1.35262567019	0.177148464768	1	0.183	1.000
All between SampleDistanceFromTree	0.5 vs. N/A	-1.25850813268	0.209114138952	1	0.205	1.000
All between SampleDistanceFromTree	0.5 vs. 1	0.521807060273	[ 0.60217372]	1	0.632	1.000
All between SampleDistanceFromTree	0.5 vs. 0	0.128892739122	0.897524003074	1	0.918	1.000
All between SampleDistanceFromTree	0.5 vs. 2	-0.846709094632	0.397796030362	1	0.396	1.000
All between SampleDistanceFromTree	0.5 vs. 5	-0.950955918177	0.34235813882	1	0.356	1.000
All between SampleDistanceFromTree	N/A vs. 1	1.0144702997	0.311115354402	1	0.301	1.000
All between SampleDistanceFromTree	N/A vs. 0	2.37056104854	0.0182542106033	1	0.025	1.000
All between SampleDistanceFromTree	N/A vs. 2	1.38487190489	0.166921615754	1	0.163	1.000
All between SampleDistanceFromTree	N/A vs. 5	-0.421726676527	0.673494214504	1	0.690	1.000
All between SampleDistanceFromTree	1 vs. 0	1.75237655249	0.0806728517609	1	0.071	1.000
All between SampleDistanceFromTree	1 vs. 2	2.26652139171	0.0240930960813	1	0.022	1.000
All between SampleDistanceFromTree	1 vs. 5	0.801814384253	0.423266709597	1	0.450	1.000
All between SampleDistanceFromTree	0 vs. 2	3.50206414976	0.000522917421121	0.282375407405	0.002	1.000
All between SampleDistanceFromTree	0 vs. 5	0.576677429777	0.56455780244	1	0.596	1.000
All between SampleDistanceFromTree	2 vs. 5	1.28960400582	0.198113681517	1	0.203	1.000
N/A vs. N/A	0 vs. 0	3.21012985377	0.00191881802538	1	0.002	1.000
N/A vs. N/A	2 vs. 2	2.18557359423	0.0320114424961	1	0.034	1.000
N/A vs. N/A	5 vs. 5	0.593917096078	[ 0.55462897]	1	0.571	1.000
N/A vs. N/A	1.5 vs. 0.3	2.80701187671	[ 0.00659274]	1	0.013	1.000
N/A vs. N/A	1.5 vs. 0.5	2.73168172162	[ 0.00810413]	1	0.018	1.000
N/A vs. N/A	1.5 vs. N/A	-6.222359789	2.4580254039e-08	1.32733371811e-05	0.001	0.540
N/A vs. N/A	1.5 vs. 1	1.27020914786	[ 0.20853824]	1	0.266	1.000
N/A vs. N/A	1.5 vs. 0	-3.88063731253	0.000233000240702	0.125820129979	0.001	0.540
N/A vs. N/A	1.5 vs. 2	-2.53527323424	0.0135061465209	1	0.013	1.000
N/A vs. N/A	1.5 vs. 5	-0.649059728572	0.518552074013	1	0.535	1.000
N/A vs. N/A	0.3 vs. 0.5	-0.163967910739	[ 0.8702652]	1	0.883	1.000
N/A vs. N/A	0.3 vs. N/A	-1.8121721828	0.073909373937	1	0.075	1.000
N/A vs. N/A	0.3 vs. 1	0.491485685373	[ 0.62473856]	1	0.635	1.000
N/A vs. N/A	0.3 vs. 0	-0.0717067267208	0.943039787144	1	0.937	1.000
N/A vs. N/A	0.3 vs. 2	-1.36950749311	0.175281552387	1	0.154	1.000
N/A vs. N/A	0.3 vs. 5	-1.19611537939	0.235931022687	1	0.264	1.000
N/A vs. N/A	0.5 vs. N/A	-0.732098672318	0.466360017446	1	0.479	1.000
N/A vs. N/A	0.5 vs. 1	0.386086532963	[ 0.70069345]	1	0.703	1.000
N/A vs. N/A	0.5 vs. 0	0.545173208974	0.587367303915	1	0.590	1.000
N/A vs. N/A	0.5 vs. 2	-0.522010667393	0.603334720588	1	0.604	1.000
N/A vs. N/A	0.5 vs. 5	-0.768884881221	0.444704441767	1	0.459	1.000
N/A vs. N/A	N/A vs. 1	1.60181858447	0.113344346404	1	0.111	1.000
N/A vs. N/A	N/A vs. 0	3.05600026829	0.00270056678806	1	0.003	1.000
N/A vs. N/A	N/A vs. 2	2.23990060093	0.0268786880603	1	0.031	1.000
N/A vs. N/A	N/A vs. 5	0.29824231489	0.766221283783	1	0.746	1.000
N/A vs. N/A	1 vs. 0	2.2613034258	0.0268500198213	1	0.026	1.000
N/A vs. N/A	1 vs. 2	2.73968283973	0.00782103891849	1	0.008	1.000
N/A vs. N/A	1 vs. 5	1.07210724361	0.287576510462	1	0.274	1.000
N/A vs. N/A	0 vs. 2	4.33121473901	3.70847848765e-05	0.0200257838333	0.001	0.540
N/A vs. N/A	0 vs. 5	1.13491639783	0.259977087822	1	0.281	1.000
N/A vs. N/A	2 vs. 5	1.7943460936	0.0768422375656	1	0.069	1.000
0 vs. 0	2 vs. 2	-0.48976385472	0.628939965508	1	0.630	1.000
0 vs. 0	5 vs. 5	1.94553692034	[ 0.07207166]	1	0.066	1.000
0 vs. 0	1.5 vs. 0.3	4.87965320476	[ 0.00024337]	[ 0.13142215]	0.072	1.000
0 vs. 0	1.5 vs. 0.5	4.7797806477	[ 0.00029352]	[ 0.15849844]	0.070	1.000
0 vs. 0	1.5 vs. N/A	-9.53611069168	8.28898096972e-10	4.47604972365e-07	0.001	0.540
0 vs. 0	1.5 vs. 1	2.84216346319	[ 0.01305006]	1	0.058	1.000
0 vs. 0	1.5 vs. 0	-7.62386861409	3.40112604812e-07	0.000183660806598	0.001	0.540
0 vs. 0	1.5 vs. 2	-5.45477890574	3.50732352318e-05	0.0189395470252	0.001	0.540
0 vs. 0	1.5 vs. 5	-2.19170756525	0.0445953890042	1	0.032	1.000
0 vs. 0	0.3 vs. 0.5	0.940734613781	[ 0.36279057]	1	0.417	1.000
0 vs. 0	0.3 vs. N/A	-5.0865638405	2.97964438478e-05	0.0160900796778	0.001	0.540
0 vs. 0	0.3 vs. 1	1.80973357707	[ 0.09185145]	1	0.129	1.000
0 vs. 0	0.3 vs. 0	-2.6573528826	0.0155534337197	1	0.018	1.000
0 vs. 0	0.3 vs. 2	-4.39179188216	0.000351793265841	0.189968363554	0.001	0.540
