# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within SampleGrass	All between SampleGrass	-0.564831600915	0.572501797336	1	0.553	1.000
All within SampleGrass	None vs. None	-2.11794700279	0.0357443151197	1	0.039	1.000
All within SampleGrass	Grass vs. Grass	1.46739833707	0.144664490541	1	0.146	1.000
All within SampleGrass	N/A vs. N/A	1.66965633973	0.0975100257564	1	0.111	1.000
All within SampleGrass	Adjacent vs. Adjacent	-0.54930165068	[ 0.583976]	1	0.602	1.000
All within SampleGrass	None vs. Grass	-2.49886655144	0.0133026274771	1	0.016	1.000
All within SampleGrass	None vs. Litte grass	-0.0330818839622	0.973667141672	1	0.969	1.000
All within SampleGrass	None vs. N/A	0.252336623252	0.801068788972	1	0.791	1.000
All within SampleGrass	None vs. Adjacent	-3.18400899196	0.00183357487029	0.220028984435	0.002	0.240
All within SampleGrass	Grass vs. Litte grass	1.68208081913	0.0953644140578	1	0.110	1.000
All within SampleGrass	Grass vs. N/A	1.42158529677	0.157105154201	1	0.144	1.000
All within SampleGrass	Grass vs. Adjacent	0.678499263174	0.498772527939	1	0.500	1.000
All within SampleGrass	Litte grass vs. N/A	1.4891531541	0.139308589039	1	0.131	1.000
All within SampleGrass	Litte grass vs. Adjacent	-0.178099483189	0.858988004347	1	0.871	1.000
All within SampleGrass	N/A vs. Adjacent	0.229126692107	0.819170488829	1	0.808	1.000
All between SampleGrass	None vs. None	-1.92412718143	0.0551400529391	1	0.060	1.000
All between SampleGrass	Grass vs. Grass	2.01489420762	0.0447338507784	1	0.063	1.000
All between SampleGrass	N/A vs. N/A	2.07073573462	0.0391850067091	1	0.044	1.000
All between SampleGrass	Adjacent vs. Adjacent	-0.634312333559	[ 0.52636039]	1	0.541	1.000
All between SampleGrass	None vs. Grass	-2.47413247976	0.0137840478974	1	0.012	1.000
All between SampleGrass	None vs. Litte grass	0.177991554515	0.858845861296	1	0.851	1.000
All between SampleGrass	None vs. N/A	0.814370745395	0.415948058523	1	0.411	1.000
All between SampleGrass	None vs. Adjacent	-3.17727463177	0.00163123605393	0.195748326472	0.002	0.240
All between SampleGrass	Grass vs. Litte grass	1.94803841161	0.0523214790364	1	0.056	1.000
All between SampleGrass	Grass vs. N/A	2.10260524475	0.0362040014012	1	0.037	1.000
All between SampleGrass	Grass vs. Adjacent	0.997363945765	0.319353411331	1	0.316	1.000
All between SampleGrass	Litte grass vs. N/A	1.71820704048	0.0867703926354	1	0.095	1.000
All between SampleGrass	Litte grass vs. Adjacent	-0.0940980539557	0.925093872506	1	0.943	1.000
All between SampleGrass	N/A vs. Adjacent	0.483256145633	0.629251737659	1	0.659	1.000
None vs. None	Grass vs. Grass	2.85744704086	0.00542593137898	0.651111765477	0.006	0.720
None vs. None	N/A vs. N/A	3.64360455791	0.000496288948217	0.059554673786	0.003	0.360
None vs. None	Adjacent vs. Adjacent	-1.12161236982	[ 0.26699019]	1	0.259	1.000
None vs. None	None vs. Grass	-0.147176485187	0.883202957089	1	0.894	1.000
None vs. None	None vs. Litte grass	1.28302353084	0.204110704642	1	0.217	1.000
None vs. None	None vs. N/A	2.59243386482	0.0106206821904	1	0.010	1.000
None vs. None	None vs. Adjacent	-1.97286340342	0.0521966773143	1	0.037	1.000
None vs. None	Grass vs. Litte grass	3.17782306357	0.00233003447435	0.279604136922	0.001	0.120
None vs. None	Grass vs. N/A	3.31855147927	0.00123070900559	0.147685080671	0.003	0.360
None vs. None	Grass vs. Adjacent	1.99539645238	0.0499496482152	1	0.038	1.000
None vs. None	Litte grass vs. N/A	2.98872296705	0.00405579641183	0.486695569419	0.003	0.360
None vs. None	Litte grass vs. Adjacent	0.358071173892	0.72166068623	1	0.711	1.000
None vs. None	N/A vs. Adjacent	1.51466614967	0.134560612489	1	0.132	1.000
Grass vs. Grass	N/A vs. N/A	0.142309996054	0.88744346031	1	0.885	1.000
Grass vs. Grass	Adjacent vs. Adjacent	-0.157202167935	[ 0.87625521]	1	0.920	1.000
Grass vs. Grass	None vs. Grass	-3.03478385592	0.00298228849981	0.357874619977	0.003	0.360
Grass vs. Grass	None vs. Litte grass	-0.822502163839	0.416060573168	1	0.386	1.000
Grass vs. Grass	None vs. N/A	-1.40512467733	0.162993123295	1	0.155	1.000
Grass vs. Grass	None vs. Adjacent	-3.18659510694	0.00253202859636	0.303843431564	0.007	0.840
Grass vs. Grass	Grass vs. Litte grass	0.544185480737	0.589865111795	1	0.595	1.000
Grass vs. Grass	Grass vs. N/A	-0.394353702713	0.694343676916	1	0.696	1.000
Grass vs. Grass	Grass vs. Adjacent	-0.355637887381	0.723891809122	1	0.702	1.000
Grass vs. Grass	Litte grass vs. N/A	0.445075137037	0.65917132512	1	0.652	1.000
Grass vs. Grass	Litte grass vs. Adjacent	-0.476821938544	0.637189348918	1	0.775	1.000
Grass vs. Grass	N/A vs. Adjacent	-0.639277735966	0.526286578245	1	0.535	1.000
N/A vs. N/A	Adjacent vs. Adjacent	-0.23143389172	[ 0.81932906]	1	0.984	1.000
N/A vs. N/A	None vs. Grass	-3.37566905353	0.00102701216066	0.123241459279	0.002	0.240
N/A vs. N/A	None vs. Litte grass	-1.57441909856	0.125878890711	1	0.143	1.000
N/A vs. N/A	None vs. N/A	-1.80050343314	0.0749215739623	1	0.085	1.000
N/A vs. N/A	None vs. Adjacent	-4.37666449824	8.10689087464e-05	0.00972826904957	0.001	0.120
N/A vs. N/A	Grass vs. Litte grass	0.741660189606	0.464696111501	1	0.439	1.000
N/A vs. N/A	Grass vs. N/A	-0.625155107355	0.533766791801	1	0.529	1.000
N/A vs. N/A	Grass vs. Adjacent	-0.582937083451	0.563672999092	1	0.546	1.000
