# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within SampleNitrogen	All between SampleNitrogen	-0.710233857722	0.477968888982	1	0.486	1.000
All within SampleNitrogen	Low-Medium vs. Low-Medium	-0.133689049968	[ 0.89388418]	1	0.883	1.000
All within SampleNitrogen	Medium vs. Medium	-2.057568935	0.0415705251879	1	0.047	1.000
All within SampleNitrogen	Trace vs. Trace	0.403196163906	0.687254897717	1	0.683	1.000
All within SampleNitrogen	Low vs. Low	1.23647675062	0.218545422674	1	0.226	1.000
All within SampleNitrogen	Low-Medium vs. Medium	-1.54442384673	0.124973890377	1	0.115	1.000
All within SampleNitrogen	Low-Medium vs. Trace	-0.0593275924369	0.952776393818	1	0.944	1.000
All within SampleNitrogen	Low-Medium vs. Trace-Low	-2.0258416584	0.0450956885486	1	0.030	1.000
All within SampleNitrogen	Low-Medium vs. Low	0.342563514291	0.732502211258	1	0.736	1.000
All within SampleNitrogen	Medium vs. Trace	-1.58837506859	0.113750203973	1	0.129	1.000
All within SampleNitrogen	Medium vs. Trace-Low	-1.92157774752	0.0570303164179	1	0.054	1.000
All within SampleNitrogen	Medium vs. Low	-0.200982431481	0.840975804614	1	0.829	1.000
All within SampleNitrogen	Trace vs. Trace-Low	-2.22035231119	0.0281824573388	1	0.027	1.000
All within SampleNitrogen	Trace vs. Low	1.99925920197	0.0469978623136	1	0.043	1.000
All within SampleNitrogen	Trace-Low vs. Low	-0.559621345707	0.576789566774	1	0.592	1.000
All between SampleNitrogen	Low-Medium vs. Low-Medium	-0.218175902836	[ 0.8274455]	1	0.845	1.000
All between SampleNitrogen	Medium vs. Medium	-1.83634398345	0.0672642503532	1	0.069	1.000
All between SampleNitrogen	Trace vs. Trace	1.08887000382	0.27692571109	1	0.261	1.000
All between SampleNitrogen	Low vs. Low	1.61197239074	0.108005608769	1	0.116	1.000
All between SampleNitrogen	Low-Medium vs. Medium	-1.34157947008	0.180736979318	1	0.183	1.000
All between SampleNitrogen	Low-Medium vs. Trace	0.325761129066	0.744821381836	1	0.740	1.000
All between SampleNitrogen	Low-Medium vs. Trace-Low	-2.00311132775	0.0460925110838	1	0.039	1.000
All between SampleNitrogen	Low-Medium vs. Low	0.633327409786	0.52700076128	1	0.527	1.000
All between SampleNitrogen	Medium vs. Trace	-1.23226408436	0.21861235185	1	0.216	1.000
All between SampleNitrogen	Medium vs. Trace-Low	-1.82186025738	0.0694852910287	1	0.063	1.000
All between SampleNitrogen	Medium vs. Low	0.265067873211	0.7911221699	1	0.787	1.000
All between SampleNitrogen	Trace vs. Trace-Low	-2.13022297146	0.0339612624288	1	0.032	1.000
All between SampleNitrogen	Trace vs. Low	2.9690442335	0.00318352662411	0.382023194893	0.006	0.720
All between SampleNitrogen	Trace-Low vs. Low	-0.399810218603	0.689585632768	1	0.690	1.000
Low-Medium vs. Low-Medium	Medium vs. Medium	-0.835732265007	[ 0.41317893]	1	0.313	1.000
Low-Medium vs. Low-Medium	Trace vs. Trace	-0.0672969064563	[ 0.94651978]	1	0.927	1.000
Low-Medium vs. Low-Medium	Low vs. Low	0.258608176244	[ 0.79970087]	1	0.760	1.000
Low-Medium vs. Low-Medium	Low-Medium vs. Medium	-0.754066582791	[ 0.46424962]	1	0.581	1.000
Low-Medium vs. Low-Medium	Low-Medium vs. Trace	-0.170731019113	[ 0.86580955]	1	0.815	1.000
Low-Medium vs. Low-Medium	Low-Medium vs. Trace-Low	-1.31564610282	[ 0.4137538]	1	0.686	1.000
Low-Medium vs. Low-Medium	Low-Medium vs. Low	-0.0332605272898	[ 0.97406269]	1	0.968	1.000
Low-Medium vs. Low-Medium	Medium vs. Trace	-0.367873827924	[ 0.71383107]	1	0.738	1.000
Low-Medium vs. Low-Medium	Medium vs. Trace-Low	-0.842163925932	[ 0.4319772]	1	0.453	1.000
Low-Medium vs. Low-Medium	Medium vs. Low	-0.201406290911	[ 0.84137682]	1	0.791	1.000
