# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within SamplePhosphorus	All between SamplePhosphorus	-3.57252984619	0.00039620309564	0.0820140407975	0.001	0.207
All within SamplePhosphorus	Medium vs. Medium	0.4439579129	0.65747638442	1	0.654	1.000
All within SamplePhosphorus	High vs. High	-1.12252452932	[ 0.26364677]	1	0.255	1.000
All within SamplePhosphorus	Trace-Low vs. Trace-Low	3.94356930085	[ 0.0001288]	[ 0.02666175]	0.001	0.207
All within SamplePhosphorus	Low vs. Low	-0.524775057706	0.600461412288	1	0.595	1.000
All within SamplePhosphorus	Low-Medium vs. Medium	-3.52315872798	0.000567525706223	0.117477821188	0.003	0.621
All within SamplePhosphorus	Low-Medium vs. Trace	0.466054043448	[ 0.64193351]	1	0.632	1.000
All within SamplePhosphorus	Low-Medium vs. High	-2.37474411144	0.018968173426	1	0.020	1.000
All within SamplePhosphorus	Low-Medium vs. Trace-Low	-3.14478666926	0.00204451260128	0.423214108465	0.006	1.000
All within SamplePhosphorus	Low-Medium vs. Low	-2.74274718008	0.00688387937839	1	0.005	1.000
All within SamplePhosphorus	Medium vs. Trace	0.959211109645	0.339016794794	1	0.339	1.000
All within SamplePhosphorus	Medium vs. High	-2.49422743379	0.0136199722237	1	0.015	1.000
All within SamplePhosphorus	Medium vs. Trace-Low	-7.8064373421	6.73751713697e-13	1.39466604735e-10	0.001	0.207
All within SamplePhosphorus	Medium vs. Low	0.594143702775	0.552946892957	1	0.532	1.000
All within SamplePhosphorus	Trace vs. High	-1.72519772869	0.0867802198175	1	0.073	1.000
All within SamplePhosphorus	Trace vs. Trace-Low	-1.79580779884	0.0747617393822	1	0.068	1.000
All within SamplePhosphorus	Trace vs. Low	0.956129831065	0.34064308902	1	0.361	1.000
All within SamplePhosphorus	High vs. Trace-Low	-3.72218107166	0.000287472595432	0.0595068272544	0.001	0.207
All within SamplePhosphorus	High vs. Low	-1.347787832	0.179772284278	1	0.182	1.000
All within SamplePhosphorus	Trace-Low vs. Low	-4.96212629599	1.8814680003e-06	0.000389463876062	0.001	0.207
All between SamplePhosphorus	Medium vs. Medium	3.70612466629	0.000242255478428	0.0501468840345	0.001	0.207
All between SamplePhosphorus	High vs. High	-1.2625166229	[ 0.20785229]	1	0.226	1.000
All between SamplePhosphorus	Trace-Low vs. Trace-Low	2.84040770245	[ 0.00484862]	1	0.011	1.000
All between SamplePhosphorus	Low vs. Low	1.36225217728	0.174150514245	1	0.184	1.000
All between SamplePhosphorus	Low-Medium vs. Medium	-1.54466059092	0.123541920253	1	0.129	1.000
All between SamplePhosphorus	Low-Medium vs. Trace	0.0240402170317	[ 0.98083829]	1	0.986	1.000
All between SamplePhosphorus	Low-Medium vs. High	-1.42382137319	0.155648531111	1	0.163	1.000
All between SamplePhosphorus	Low-Medium vs. Trace-Low	-2.07408048348	0.0390160893122	1	0.028	1.000
All between SamplePhosphorus	Low-Medium vs. Low	-1.25104188881	0.211974794537	1	0.209	1.000
All between SamplePhosphorus	Medium vs. Trace	2.14961639341	0.032430204802	1	0.033	1.000
All between SamplePhosphorus	Medium vs. High	-0.219830173024	0.826153426072	1	0.802	1.000
All between SamplePhosphorus	Medium vs. Trace-Low	-5.05928130798	7.35906931749e-07	0.000152332734872	0.001	0.207
All between SamplePhosphorus	Medium vs. Low	3.98858867972	7.94147488286e-05	0.0164388530075	0.001	0.207
All between SamplePhosphorus	Trace vs. High	-0.89963247699	0.369114559357	1	0.378	1.000
All between SamplePhosphorus	Trace vs. Trace-Low	-0.979725657921	0.32809536097	1	0.343	1.000
All between SamplePhosphorus	Trace vs. Low	1.78114154322	0.0759850424649	1	0.082	1.000
All between SamplePhosphorus	High vs. Trace-Low	-2.33369750251	0.0203375954959	1	0.009	1.000
All between SamplePhosphorus	High vs. Low	0.245678418886	0.806108006301	1	0.820	1.000
All between SamplePhosphorus	Trace-Low vs. Low	-2.90876275152	0.00391427177903	0.810254258259	0.006	1.000
Medium vs. Medium	High vs. High	-1.1475976487	[ 0.25376776]	1	0.260	1.000
Medium vs. Medium	Trace-Low vs. Trace-Low	4.30255641428	[  3.82465408e-05]	[ 0.00791703]	0.004	0.828
Medium vs. Medium	Low vs. Low	-0.822398534959	0.41234453089	1	0.390	1.000
Medium vs. Medium	Low-Medium vs. Medium	-3.96923750722	0.000124296478501	0.0257293710497	0.002	0.414
Medium vs. Medium	Low-Medium vs. Trace	0.561410958915	[ 0.57572518]	1	0.569	1.000
Medium vs. Medium	Low-Medium vs. High	-2.63933787251	0.00957182820535	1	0.007	1.000
Medium vs. Medium	Low-Medium vs. Trace-Low	-3.44296279594	0.000827535621784	0.171299873709	0.003	0.621
Medium vs. Medium	Low-Medium vs. Low	-3.09383813687	0.00250020629747	0.517542703576	0.002	0.414
Medium vs. Medium	Medium vs. Trace	0.791016383449	0.430521459666	1	0.426	1.000
Medium vs. Medium	Medium vs. High	-2.90238270493	0.00433633454111	0.897621250009	0.006	1.000
