# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within SampleGrass	All between SampleGrass	0.535063151154	0.592900566372	1	0.578	1.000
All within SampleGrass	None vs. None	-2.46725480979	0.0146822948457	1	0.019	1.000
All within SampleGrass	Grass vs. Grass	1.61734386793	0.108209544337	1	0.105	1.000
All within SampleGrass	N/A vs. N/A	2.85359735243	0.00506738233548	0.608085880257	0.009	1.000
All within SampleGrass	Adjacent vs. Adjacent	-1.13104577488	[ 0.26063729]	1	0.186	1.000
All within SampleGrass	None vs. Grass	-1.47906917465	0.140769176146	1	0.156	1.000
All within SampleGrass	None vs. Litte grass	-1.08902429226	0.278439981247	1	0.262	1.000
All within SampleGrass	None vs. N/A	0.61482287413	0.539448138447	1	0.549	1.000
All within SampleGrass	None vs. Adjacent	-1.35985922373	0.1763221862	1	0.200	1.000
All within SampleGrass	Grass vs. Litte grass	1.14260956641	0.255659316964	1	0.266	1.000
All within SampleGrass	Grass vs. N/A	3.21022277114	0.00160488690832	0.192586428999	0.001	0.120
All within SampleGrass	Grass vs. Adjacent	0.5448803467	0.586855522459	1	0.607	1.000
All within SampleGrass	Litte grass vs. N/A	1.1239473347	0.263482192546	1	0.257	1.000
All within SampleGrass	Litte grass vs. Adjacent	0.00937668546294	0.992536389516	1	0.993	1.000
All within SampleGrass	N/A vs. Adjacent	1.29746433472	0.197023874429	1	0.201	1.000
All between SampleGrass	None vs. None	-3.56073600813	0.000420339798407	0.0504407758088	0.002	0.240
All between SampleGrass	Grass vs. Grass	1.54770181742	0.122661334948	1	0.119	1.000
All between SampleGrass	N/A vs. N/A	2.97709605085	0.00313194877313	0.375833852776	0.002	0.240
All between SampleGrass	Adjacent vs. Adjacent	-1.21715934344	[ 0.22450019]	1	0.128	1.000
All between SampleGrass	None vs. Grass	-2.420702523	0.015949977757	1	0.014	1.000
All between SampleGrass	None vs. Litte grass	-1.46523735861	0.143869640387	1	0.152	1.000
All between SampleGrass	None vs. N/A	0.3018591473	0.76292632834	1	0.775	1.000
All between SampleGrass	None vs. Adjacent	-1.91797161023	0.0560016200201	1	0.056	1.000
All between SampleGrass	Grass vs. Litte grass	1.11952030684	0.263793348581	1	0.296	1.000
All between SampleGrass	Grass vs. N/A	3.29209354937	0.00109433147041	0.131319776449	0.004	0.480
All between SampleGrass	Grass vs. Adjacent	0.378331576756	0.705439128715	1	0.746	1.000
All between SampleGrass	Litte grass vs. N/A	1.10564665618	0.269748007521	1	0.236	1.000
All between SampleGrass	Litte grass vs. Adjacent	-0.0779101658958	0.937951277745	1	0.940	1.000
All between SampleGrass	N/A vs. Adjacent	1.25855917147	0.209127533748	1	0.178	1.000
None vs. None	Grass vs. Grass	3.30695429814	0.00140774462987	0.168929355585	0.003	0.360
None vs. None	N/A vs. N/A	4.22504867892	6.72786970937e-05	0.00807344365124	0.001	0.120
None vs. None	Adjacent vs. Adjacent	-1.39030108081	[ 0.1701416]	1	0.161	1.000
