# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within SampleVegetation	All between SampleVegetation	-0.647524729065	0.51766017278	1	0.530	1.000
All within SampleVegetation	bushes vs. bushes	-3.01073590433	0.00324517089726	0.389420507671	0.008	0.960
All within SampleVegetation	none vs. none	-0.890891462718	0.374239170397	1	0.367	1.000
All within SampleVegetation	shrubs vs. shrubs	1.76849898787	0.0796290142949	1	0.067	1.000
All within SampleVegetation	grass vs. grass	1.50676070576	0.134243520265	1	0.138	1.000
All within SampleVegetation	bushes vs. none	-4.56631521955	1.07215412305e-05	0.00128658494766	0.001	0.120
All within SampleVegetation	bushes vs. tree	-0.585147878037	0.559668884552	1	0.585	1.000
All within SampleVegetation	bushes vs. shrubs	-2.22275246844	0.0281058030403	1	0.026	1.000
All within SampleVegetation	bushes vs. grass	-3.21398199852	0.00165391605579	0.198469926694	0.003	0.360
All within SampleVegetation	none vs. tree	1.3122198972	0.192014539502	1	0.191	1.000
All within SampleVegetation	none vs. shrubs	2.08197984981	0.0388877731008	1	0.045	1.000
All within SampleVegetation	none vs. grass	-0.264910925402	0.791349547108	1	0.775	1.000
All within SampleVegetation	tree vs. shrubs	2.00964903416	0.0469164826657	1	0.040	1.000
All within SampleVegetation	tree vs. grass	1.53221249767	0.128264936795	1	0.137	1.000
All within SampleVegetation	shrubs vs. grass	2.55276965586	0.0117210774911	1	0.009	1.000
All between SampleVegetation	bushes vs. bushes	-2.26910210343	0.0239720966335	1	0.033	1.000
All between SampleVegetation	none vs. none	-0.27569645585	0.782938093952	1	0.771	1.000
All between SampleVegetation	shrubs vs. shrubs	1.61191405555	0.108008173791	1	0.090	1.000
All between SampleVegetation	grass vs. grass	1.58980595445	0.112850806785	1	0.107	1.000
All between SampleVegetation	bushes vs. none	-4.26058570943	2.65697464734e-05	0.00318836957681	0.001	0.120
All between SampleVegetation	bushes vs. tree	-0.351759927202	0.725265258491	1	0.743	1.000
All between SampleVegetation	bushes vs. shrubs	-1.73994820351	0.0828541740477	1	0.089	1.000
All between SampleVegetation	bushes vs. grass	-2.82459603648	0.00503015431448	0.603618517738	0.008	0.960
All between SampleVegetation	none vs. tree	1.26694077652	0.206130542174	1	0.211	1.000
All between SampleVegetation	none vs. shrubs	2.33782675817	0.0199480126725	1	0.011	1.000
All between SampleVegetation	none vs. grass	0.397732243987	0.691043515263	1	0.681	1.000
All between SampleVegetation	tree vs. shrubs	1.70572437114	0.0890875834962	1	0.081	1.000
All between SampleVegetation	tree vs. grass	1.38881033649	0.165903716143	1	0.160	1.000
All between SampleVegetation	shrubs vs. grass	2.51092077357	0.0125092231513	1	0.019	1.000
bushes vs. bushes	none vs. none	2.87829163408	0.00536079406466	0.643295287759	0.003	0.360
bushes vs. bushes	shrubs vs. shrubs	3.18974135146	0.00861049902325	1	0.020	1.000
bushes vs. bushes	grass vs. grass	3.73121301586	0.000825678986961	0.0990814784354	0.005	0.600
bushes vs. bushes	bushes vs. none	0.610028368925	0.54557168651	1	0.552	1.000
bushes vs. bushes	bushes vs. tree	0.814483645576	0.461078547449	1	0.404	1.000
bushes vs. bushes	bushes vs. shrubs	0.900074846599	0.381428099487	1	0.416	1.000
bushes vs. bushes	bushes vs. grass	0.720704924201	0.477776687178	1	0.524	1.000
bushes vs. bushes	none vs. tree	3.45566817081	0.00426150087531	0.511380105038	0.014	1.000
