# Constructed from biom file
#OTU ID	515rcbc8	515rcbc9	515rcbc10	515rcbc11	515rcbc12	515rcbc13	515rcbc14	515rcbc15	515rcbc16	515rcbc17	515rcbc18	515rcbc19	515rcbc21	515rcbc22	515rcbc23	515rcbc24	515rcbc25	515rcbc26	515rcbc27	515rcbc28	515rcbc29	515rcbc30	515rcbc31	515rcbc32	515rcbc33	515rcbc34	515rcbc35	515rcbc36	515rcbc37
D_0__Archaea;D_1__Bathyarchaeota	0.0	0.0	0.0	0.0	5.53001303977e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.61100202958e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Archaea;D_1__Diapherotrites	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.32220040592e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Archaea;D_1__Euryarchaeota	0.0	9.5470601874e-05	8.38206435453e-05	0.0	2.98620704148e-05	0.0	7.2233458538e-06	4.02268796009e-05	5.22105966627e-06	0.00019171619335	0.000125839585988	1.22428991185e-05	0.0	0.0	2.3951235285e-05	0.0	0.0	0.0004702694532	0.0	7.92901941817e-06	0.000140538261542	0.00128914539577	0.0	0.0	0.0	5.64923876508e-05	0.000152125188889	0.0	4.3595146407e-05
D_0__Archaea;D_1__Miscellaneous Euryarchaeotic Group(MEG)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.41350295428e-06	0.0	0.0	0.0	0.0	5.59844587143e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Archaea;D_1__Parvarchaeota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.67953376143e-05	0.0	0.0	0.0	4.6277014207e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Archaea;D_1__Thaumarchaeota	0.0114945021579	0.0446256870474	0.0140818681156	0.0101562785931	0.00135595919735	0.0194537378865	0.0248049696619	0.0225029164488	0.0268519098636	0.0324167076495	0.0292183788715	0.0171767874633	0.0120543558037	0.0143952781351	0.0289091409889	0.0527042252147	0.00479899409731	0.0588788552298	0.0168228821761	0.0409137401977	0.0277346853835	0.0575686056736	0.00778070550581	0.00575479432236	0.0159711622211	0.0372849758495	0.0288632191718	0.00464376427124	0.0193998401511
D_0__Archaea;D_1__Woesearchaeota (DHVEG-6)	8.67509596825e-05	2.72773148211e-05	0.0	7.31984042748e-05	1.32720312954e-05	1.44208583295e-05	8.66801502456e-05	5.63176314413e-05	4.17684773302e-05	1.66709733348e-05	7.86497412424e-05	3.06072477963e-05	9.63755384057e-05	6.23172213641e-05	8.38293234974e-05	0.000131687403368	2.09563061018e-05	7.27797963285e-05	0.0	2.37870582545e-05	4.86478597644e-05	1.98330060887e-05	6.20800971209e-05	6.42993779035e-05	8.62373770039e-05	0.000127107872214	0.0	0.0	0.000450483179539
D_0__Bacteria;D_1__Acidobacteria	0.219718493136	0.173142755827	0.179874170422	0.143587819786	0.168616733598	0.214885209968	0.140205143022	0.172179090068	0.150606687133	0.15369803866	0.186187532443	0.179327864838	0.201543491315	0.170793698839	0.178017556255	0.191683208881	0.214606545353	0.20127532597	0.185764861698	0.186577755929	0.15494343335	0.165817152906	0.168009436175	0.199167323056	0.132771065635	0.177993390391	0.237153027798	0.0473869204916	0.151129840878
D_0__Bacteria;D_1__Actinobacteria	0.0998069791147	0.135268204198	0.126884731823	0.113924166453	0.058045781872	0.0866837794186	0.128134932101	0.25766120922	0.120820541737	0.215038885045	0.163261132871	0.0857125367287	0.0915345209765	0.129833479482	0.103265750931	0.133935843848	0.158059446055	0.113480497814	0.148820742703	0.116810314068	0.168651319168	0.137085738085	0.0878640307917	0.0895690334196	0.156158642279	0.16953365534	0.102065860065	0.167329450702	0.141175615781
D_0__Bacteria;D_1__Aminicenantes	0.0	0.0	9.8612521818e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Armatimonadetes	0.00214708625214	0.00114564722249	0.00033035194809	0.0009058302529	0.000592817397863	0.000995039224735	0.000946258306848	0.0010378534937	0.00110164358958	0.00092523902008	0.00141569534236	0.0018180705191	0.000659801762931	0.000939209550559	0.000838293234974	0.00131687403368	0.00228423736509	0.0013324301174	0.000560338240538	0.00095148233018	0.000448641373383	0.002459292755	0.000938099245382	0.00217814142648	0.000784760130736	0.00118634014067	0.00211961096518	0.000744028529646	0.00146770326237
D_0__Bacteria;D_1__BJ-169	0.0	0.0	1.47918782727e-05	9.14980053435e-06	2.82030665028e-05	0.0	2.88933834152e-05	0.0	5.22105966627e-06	3.33419466696e-05	3.93248706212e-05	1.83643486778e-05	0.0	5.78659912667e-05	0.0	3.4141178651e-05	0.0	5.59844587143e-06	0.0	7.92901941817e-06	5.4053177516e-06	4.6277014207e-05	3.44889428449e-05	1.60748444759e-05	4.3118688502e-05	7.06154845635e-05	5.07083962963e-05	0.0	2.9063430938e-05
D_0__Bacteria;D_1__BRC1	0.000281940618968	0.000627378240886	0.000212016921909	0.000338542619771	0.000304150717187	0.000158629441624	0.000332273909275	0.000225270525765	0.00034981099764	0.000150038760013	0.000228084249603	0.000348922624878	0.00020757808272	0.000231463965067	0.000958049411398	0.00028288405168	0.000370228074465	0.0001567564844	0.000216494320208	0.00047574116509	0.000151348897045	0.000978428300377	0.00026901375419	0.000225047822662	0.000293207081813	0.00015535406604	8.1133434074e-05	0.000872309310619	0.000363292886725
D_0__Bacteria;D_1__Bacteroidetes	0.0700080244638	0.0893741220114	0.0945299634148	0.0956886139882	0.188977688609	0.094889247808	0.105887026871	0.0478056237178	0.101439968256	0.0597237619718	0.0502571846539	0.0936030852106	0.0756177301337	0.0789648219285	0.144401997533	0.0550014388068	0.0844678844609	0.037839895645	0.0837196271204	0.0847691465996	0.0894471981535	0.0514335957901	0.0914232896933	0.0728753074314	0.063755292819	0.0524531819337	0.0299280954941	0.218693075403	0.092145607789
D_0__Bacteria;D_1__Candidatus Berkelbacteria	4.33754798412e-05	0.000300050463032	7.39593913635e-05	1.82996010687e-05	1.27190299915e-05	1.44208583295e-05	4.33400751228e-05	2.41361277606e-05	3.65474176639e-05	8.33548666739e-06	6.29197929939e-05	4.8971596474e-05	5.93080236342e-05	4.00610708769e-05	0.0	3.90184898869e-05	0.000146694142712	4.47875669714e-05	1.27349600122e-05	3.96450970908e-05	1.62159532548e-05	0.000105776032473	4.13867314139e-05	2.41122667138e-05	7.76136393035e-05	1.41230969127e-05	6.08500755555e-05	5.13123123894e-05	5.8126861876e-05
D_0__Bacteria;D_1__Chlamydiae	0.000910885076666	0.00132294976882	0.00173064975791	0.00159206529298	0.00129236404739	0.000490309183203	0.000346720600982	0.000482722555211	0.00250088758014	0.000533471146713	0.00066852280056	0.00127938295788	0.000659801762931	0.000454025469939	0.000958049411398	0.000434080699992	0.00131326184904	0.00122046119997	0.000725892720697	0.00086426311658	0.0010161997373	0.000482603148159	0.00140714886807	0.00139047404716	0.00087099750774	0.00158178685422	0.000973601208888	0.000872309310619	0.00114800552205
D_0__Bacteria;D_1__Chlorobi	0.000954260556507	0.000981983333561	0.00107487648782	0.00106137686198	0.00284574471027	0.000937355791417	0.00137965905808	0.000707993080977	0.00109642252992	0.00054180663338	0.000904472024287	0.000716209598433	0.000971168887011	0.00124189319719	0.00201190376394	0.000560890792124	0.00139708707345	0.000380694319257	0.00117161632112	0.000832547038908	0.000367561607109	0.000740432227313	0.00115193069102	0.000618881512321	0.00087099750774	0.000720277942547	0.000304250377778	0.00100059009159	0.00197631330379
D_0__Bacteria;D_1__Chloroflexi	0.0305363378082	0.0390474761664	0.042797834469	0.0252534494748	0.0137470594156	0.0242126211352	0.0250650101127	0.0562049961784	0.0241474009565	0.0529303403379	0.0516964749186	0.0276261018609	0.0354810251392	0.0283899455615	0.0270888471073	0.0341850744522	0.0273829066397	0.0411709709385	0.0358616473944	0.0283383154005	0.0389290984471	0.0697791264222	0.0246802874998	0.0229307656448	0.0312093067377	0.0385136852809	0.0320578481385	0.0122892988173	0.0345418876698
D_0__Bacteria;D_1__Cyanobacteria	0.00149645405452	0.00306869791738	0.000803692052817	0.00204040551916	0.00196315462912	0.00245154591601	0.00495521525571	0.00146425841747	0.000892801202932	0.00179212963349	0.00235949223727	0.00337291870715	0.00263179354877	0.00332061765269	0.00470641773349	0.00703796011335	0.00252174216758	0.000974129581628	0.0016682797616	0.00389314853432	0.00407560958471	0.00300800592346	0.00130368203954	0.0044286196531	0.0022852904906	0.00595994689716	0.00133870166222	0.00205249249557	0.00325510426506
